2011 296 10 2431 51 52  60  34   6.6   6.5 -45.4 270.1   0.0  -4.6  -4.7  -6.4  -1.7   0.2   0.7   0.4   0.4   0.4   15913.   5.2  297.  -4.0  -1.1 0.008    2549.   0.9    2.   0.6   0.6 0.002  0.79   0.50   0.72   5.1  4.0 0.0452  7 134    -4   3 153.9   69   -39    30   0.3 0.007993 999999.99 99999.99 99999.99     3.01     0.17     0.06 -1
2011 296 11 2431 51 52  58  32   6.7   6.7 -48.3 273.8   0.3  -4.4  -5.0  -6.3  -2.1   0.0   0.4   0.2   0.2   0.2   14852.   4.7  297.  -3.9  -1.1 0.009    1274.   0.2    1.   0.2   0.2 0.001  0.72   0.62   0.62   4.8  3.9 0.0515  7 134    -5   3 153.9   98   -69    29   0.5 0.007993 999999.99 99999.99 99999.99     2.22     0.15     0.06 -1
2011 296 12 2431 51 52  57  34   6.7   6.7 -54.7 268.9  -0.1  -3.8  -5.4  -6.0  -2.8   0.1   0.3   0.2   0.2   0.1   14342.   4.9  296.  -4.6  -1.5 0.009    1336.   0.3    2.   0.3   0.3 0.001  0.74   0.83   0.65   4.9  3.9 0.0497  7 134    -7   3 153.9   66   -33    33   0.8 0.007993 999999.99 99999.99 99999.99     2.07     0.13     0.05 -1
2011 296 13 2431 51 52  58  31   6.5   6.5 -56.5 263.0  -0.4  -3.5  -5.4  -5.6  -3.2   0.0   0.3   0.3   0.1   0.1   13651.   5.6  294.  -4.8  -2.2 0.009     723.   0.2    1.   0.4   0.3 0.001  0.84   0.94   0.78   5.4  4.1 0.0415  7 134    -6   3 153.9   89   -43    46   1.0 0.007993 999999.99 99999.99 99999.99     2.37     0.15     0.06 -1
2011 296 14 2431 51 52  57  33   5.4   5.3 -61.3 248.0  -0.9  -2.4  -4.6  -4.2  -3.1   0.7   1.4   0.8   1.0   0.5   14481.   8.0  290.  -3.8   0.1 0.018    1191.   1.7    3.   1.0   0.8 0.004  1.20   0.90   1.63   7.6  4.9 0.0206  7 134    -6   3 153.9  194  -135    59   1.6 0.007993 999999.99 99999.99 99999.99     3.91     0.16     0.06 -1
2011 296 15 2431 51 52  62  35   4.0   3.9 -65.4 224.3  -1.2  -1.1  -3.6  -2.4  -2.9   0.5   0.9   0.5   0.6   0.5   12820.  12.0  290.  -4.2   0.3 0.014    1343.   1.1    3.   0.3   0.4 0.002  1.78   0.84   4.40  12.6  5.7 0.0075  7 134    -4   3 153.9  120   -93    27   1.4 0.007993 999999.99 99999.99 99999.99     8.14     0.19     0.06 -1
2011 296 16 2431 51 52  59  36   2.7   1.6 -64.4 243.6  -0.3  -0.6  -1.4  -1.1  -1.1   0.8   2.4   0.8   0.5   2.2   12828.  15.7  292.  -4.3  -0.1 0.015    1894.   1.5    2.   0.3   0.9 0.002  2.37   0.32  12.65  21.4  6.2 0.0026  7 134    -1   3 153.9   75   -61    14   0.9 0.007993 999999.99 99999.99 99999.99     5.52     0.18     0.06 -1
2011 296 17 2431 51 52  60  36   2.3   2.0  45.6 337.6   1.3  -0.5   1.4   0.0   1.5   0.3   1.1   0.7   0.8   0.3   10518.  17.4  291.  -4.3   0.0 0.025     547.   0.5    1.   0.2   0.3 0.005  2.71  -0.44  19.00  26.4  6.3 0.0017  7 134     4   3 153.9   40   -22    18   0.3 0.007993 999999.99 99999.99 99999.99     4.12     0.17     0.07 -1
2011 296 18 2431 51 52  62  38   3.4   1.0 -35.9 295.9   0.4  -0.7  -0.6  -0.8  -0.4   1.2   3.5   0.8   2.2   2.6   10979.  16.2  292.  -4.2  -0.2 0.022    1716.   2.2    2.   0.3   0.7 0.007  2.51   0.12   8.12  17.3  6.1 0.0040  7 134     8   3 153.9   37    -8    30   0.2 0.007993 999999.99 99999.99 99999.99     3.06     0.15     0.06 -1
2011 296 19 2431 51 52  58  35   2.9   1.6 -30.7 154.5  -1.2   0.6  -0.8   0.4  -0.9   0.8   2.5   1.1   1.9   1.3   13831.  15.5  293.  -5.0  -1.8 0.035    2056.   0.9    3.   0.7   0.5 0.009  2.53   0.26  10.90  19.9  6.2 0.0030  7 134     7   3 153.9   36   -14    22   0.9 0.007993 999999.99 99999.99 99999.99     3.18     0.17     0.07 -1
