DOY  Hora mdif    tcdif
311  0.0   1.62   5.05
311  1.0   0.67   0.04
311  2.0   1.08   1.17
311  3.0   4.03   1.25
311  4.0   5.45   1.58
311  5.0  11.09   1.06
311  6.0  11.44   2.48
311  7.0  12.06   1.55
311  8.0   7.86   4.00
311  9.0  12.89   0.79
311 10.0   5.36   5.11
311 11.0   4.82   2.52
311 12.0   7.73   9.15
311 13.0   6.93   6.36
311 14.0  12.30   2.83
311 15.0  11.91   2.95
311 16.0   9.22   1.62
311 17.0  11.82   1.24
311 18.0   4.37   0.28
311 19.0   5.66   5.75
311 20.0  10.42  11.90
311 21.0  14.52  13.69
311 22.0  19.27  20.19
311 23.0  56.19  25.98
312  0.0 116.40  36.35
312  1.0  88.12  31.46
312  2.0  50.97  37.63
312  3.0  23.83   6.55
312  4.0  82.89   1.38
312  5.0  55.44   3.96
312  6.0   8.42   4.08
312  7.0  17.00   2.95
312  8.0  16.67   4.70
312  9.0  32.22   0.41
312 10.0  33.96   1.49
312 11.0  29.08   1.32
