DOY  Hora mdif    tcdif
311  0.0   1.14   0.00
311  1.0   2.55   1.00
311  2.0   8.27   2.00
311  3.0  11.75   3.00
311  4.0  10.37   4.00
311  5.0   5.09   5.00
311  6.0   7.33   6.00
311  7.0  12.10   7.00
311  8.0  10.52   8.00
311  9.0   5.02   9.00
311 10.0  12.47  10.00
311 11.0  37.73  11.00
311 12.0 102.26  12.00
311 13.0  37.40  13.00
311 14.0  69.17  14.00
311 15.0  12.71  15.00
311 16.0  24.45  16.00
311 17.0  31.52  17.00
311 18.0  18.82  18.00
311 19.0  12.45  19.00
311 20.0  15.39  20.00
311 21.0   8.88  21.00
311 22.0  29.13  22.00
311 23.0  50.60  23.00
312  0.0  38.90  24.00
312  1.0  21.36  25.00
312  2.0  86.60  26.00
312  3.0  31.17  27.00
312  4.0  37.61  28.00
312  5.0  22.09  29.00
312  6.0  16.87  30.00
312  7.0   7.64  31.00
312  8.0   7.40  32.00
312  9.0  12.52  33.00
312 10.0  11.10  34.00
312 11.0   4.11  35.00
312 12.0  21.22  36.00
312 13.0  17.36  37.00
312 14.0   9.52  38.00
312 15.0  15.04  39.00
312 16.0  15.17  40.00
312 17.0  15.39  41.00
312 18.0  10.52  42.00
312 19.0   7.80  43.00
312 20.0  12.77  44.00
312 21.0  14.16  45.00
312 22.0  12.65  46.00
312 23.0   2.21  47.00
313  0.0  11.92  48.00
313  1.0  11.22  49.00
313  2.0   5.43  50.00
313  3.0  15.62  51.00
313  4.0  13.23  52.00
313  5.0   4.25  53.00
