DOY  Hora mdif    tcdif
074  0.0  6.705771  1.2611
074  1.0  3.215510  0.9795
074  2.0  2.376941  0.9056
074  3.0       Inf  1.0093
074  4.0 10.643547  0.7857
074  5.0       Inf  0.6709
074  6.0  1.827237  0.2401
074  7.0  0.937775  0.2199
074  8.0  1.725249  0.3587
074  9.0  1.401153  0.3629
074 10.0  2.402904  0.5168
074 11.0  1.471412  0.5391
074 12.0  1.022664  1.0906
074 13.0  0.397137  0.6986
074 14.0  0.139638  0.6096
074 15.0  0.049622  0.6558
074 16.0  0.567495  0.4371
074 17.0  0.120824  0.4861
074 18.0  0.251215  0.0742
074 19.0  0.599021  0.2098
074 20.0  1.115838  0.3179
074 21.0  2.226691  0.2825
074 22.0  1.419285  0.3153
074 23.0  0.404440  0.3797
075  0.0  0.184574  1.0368
075  1.0  0.079779  0.7466
075  2.0  0.075569  0.4246
075  3.0  0.382920  0.4698
075  4.0  0.462624  0.2755
075  5.0  0.247101  0.5197
075  6.0  0.856461  0.2085
075  7.0  2.932109  0.2751
075  8.0  0.671372  0.6372
075  9.0  0.661550  0.9806
075 10.0  0.581701  0.1960
075 11.0  0.432227  0.2360
075 12.0  0.336028  1.0323
075 13.0  0.374378  0.8767
075 14.0  0.081510  0.6466
075 15.0  0.207332  0.3953
075 16.0  0.076919  0.2585
075 17.0  0.309434  0.2175
075 18.0  0.618735  0.0979
075 19.0  0.391005  0.4508
075 20.0  0.299576  0.4096
075 21.0  0.163798  0.5540
075 22.0  0.210092  0.6282
075 23.0  0.301948  0.2830
076  0.0  0.147832  1.0547
076  1.0  0.108818  0.8630
076  2.0  0.070775  0.5171
076  3.0  0.059443  0.1907
076  4.0  0.092079  0.0884
076  5.0  0.121971  0.0999
076  6.0  0.534468  0.0758
076  7.0  7.023067  0.1145
076  8.0  0.397264  0.3519
076  9.0  0.224789  0.3186
076 10.0  0.231772  0.2119
076 11.0  0.452559  0.0870
076 12.0  0.119294  0.6106
076 13.0  0.313134  0.3082
076 14.0  0.828361  0.2951
076 15.0  0.394272  0.2930
076 16.0  0.371116  0.0544
076 17.0  0.204341  0.0915
076 18.0  0.129477  0.0600
076 19.0  0.063424  0.2952
076 20.0  0.323195  0.3145
076 21.0  0.474132  0.3934
076 22.0  0.317270  0.5089
076 23.0  0.494238  0.1079
