DOY  Hora mdif    tcdif
323  0.0  26.50   0.00
323  1.0  24.59   1.00
323  2.0  16.43   2.00
323  3.0  20.96   3.00
323  4.0  11.63   4.00
323  5.0  26.27   5.00
323  6.0  25.05   6.00
323  7.0  12.71   7.00
323  8.0  42.69   8.00
323  9.0  30.02   9.00
323 10.0  84.76  10.00
323 11.0   8.92  11.00
323 12.0  15.48  12.00
323 13.0  18.42  13.00
323 14.0  14.65  14.00
323 15.0   8.42  15.00
323 16.0  19.21  16.00
323 17.0  26.33  17.00
323 18.0  18.79  18.00
323 19.0  18.88  19.00
323 20.0  18.49  20.00
323 21.0   9.53  21.00
323 22.0   6.20  22.00
323 23.0  10.30  23.00
324  0.0  26.07  24.00
324  1.0  20.77  25.00
324  2.0  17.81  26.00
324  3.0  16.03  27.00
324  4.0  20.64  28.00
324  5.0  16.70  29.00
324  6.0  23.88  30.00
324  7.0  16.43  31.00
324  8.0  17.51  32.00
324  9.0  11.66  33.00
324 10.0  18.52  34.00
324 11.0  19.39  35.00
