DOY  Hora mdif    tcdif
074  0.0   4.43   0.00
074  1.0   5.13   1.00
074  2.0   6.96   2.00
074  3.0   2.57   3.00
074  4.0   4.26   4.00
074  5.0   6.55   5.00
074  6.0   3.27   6.00
074  7.0   6.86   7.00
074  8.0   9.09   8.00
074  9.0   5.42   9.00
074 10.0   8.45  10.00
074 11.0   3.96  11.00
074 12.0   1.21  12.00
074 13.0  15.67  13.00
074 14.0  15.00  14.00
074 15.0  29.65  15.00
074 16.0  23.88  16.00
074 17.0  70.63  17.00
074 18.0  31.73  18.00
074 19.0   5.54  19.00
074 20.0   7.49  20.00
074 21.0   4.27  21.00
074 22.0  13.76  22.00
074 23.0  16.32  23.00
075  0.0  13.92  24.00
075  1.0  10.56  25.00
075  2.0  18.25  26.00
075  3.0  13.52  27.00
075  4.0   5.24  28.00
075  5.0   4.02  29.00
075  6.0   8.17  30.00
075  7.0   9.12  31.00
075  8.0   5.89  32.00
075  9.0   4.36  33.00
075 10.0  11.06  34.00
075 11.0   8.57  35.00
