DOY  Hora mdif    tcdif
074  0.0   5.42  17.40
074  1.0   5.59   9.36
074  2.0   2.93   5.99
074  3.0   5.99  17.74
074  4.0   4.38  13.70
074  5.0   8.43   5.99
074  6.0   5.27   4.83
074  7.0   6.62  12.21
074  8.0   2.15  12.87
074  9.0  19.11   4.83
074 10.0  31.42   8.96
074 11.0  51.35  17.27
074 12.0  24.10  14.27
074 13.0   5.75   3.29
074 14.0   7.53   7.43
074 15.0  15.37  18.17
074 16.0  12.61  13.90
074 17.0  15.87   1.43
074 18.0   9.73   4.53
074 19.0   5.46   7.61
074 20.0   5.91   7.10
074 21.0   9.54   1.63
074 22.0   6.17   5.30
074 23.0   9.83  12.51
