DOY  Hora mdif    tcdif
311  0.0  0.297516  0.4489
311  1.0  0.312625  0.0072
311  2.0  0.186084  0.1993
311  3.0  0.081074  0.1799
311  4.0  0.079375  0.1885
311  5.0  0.354075  0.1132
311  6.0  0.588810  0.2412
311  7.0  0.716700  0.0899
311  8.0  1.109543  0.1709
311  9.0  0.949006  0.0289
311 10.0  2.238967  0.1774
311 11.0  1.951889  0.0906
311 12.0  1.304345  0.8133
311 13.0  2.398695  1.1480
311 14.0  2.833520  0.4821
311 15.0  2.634077  0.4245
311 16.0  2.263520  0.1933
311 17.0  1.750180  0.1325
311 18.0  2.680916  0.0272
311 19.0 13.136590  0.3333
311 20.0  3.793342  0.5085
311 21.0  0.911610  0.5013
311 22.0  0.553195  0.7008
311 23.0  0.704234  0.9339
312  0.0  0.757306  3.2311
312  1.0  0.937044  5.6787
312  2.0  1.178479  6.4106
312  3.0  0.330815  0.9424
312  4.0  0.939293  0.1647
312  5.0  0.919968  0.4231
312  6.0  0.903345  0.3969
312  7.0  0.727323  0.1710
312  8.0  0.673371  0.2009
312  9.0  0.589923  0.0150
312 10.0  0.716246  0.0517
312 11.0  0.177522  0.0474
312 12.0  0.036366  0.5200
312 13.0  0.179717  0.4440
312 14.0  0.025447  0.0801
312 15.0  0.391093  0.8273
312 16.0  2.902362  0.7136
312 17.0  0.026957  0.7329
312 18.0  0.142645  0.7665
312 19.0  0.497312  0.0551
312 20.0  1.130934  0.2650
312 21.0  0.254025  0.0406
312 22.0  0.664776  0.0725
312 23.0  0.650891  0.4450
313  0.0  0.771403  1.6311
313  1.0  0.675920  1.6173
313  2.0  0.529114  1.2317
313  3.0  0.298474  0.9137
313  4.0  0.320578  0.0095
313  5.0  0.015971  0.3162
313  6.0  0.088358  0.6401
313  7.0  0.061113  0.1188
313  8.0  0.302939  0.2949
313  9.0  0.304123  0.0729
313 10.0  0.332137  0.2225
313 11.0  0.222940  0.4680
313 12.0  0.070649  0.0489
313 13.0  0.037487  0.4946
313 14.0  0.096302  0.7785
313 15.0  0.155181  0.6403
313 16.0  0.133280  0.5585
313 17.0  0.136727  0.5620
313 18.0  0.202256  0.5914
313 19.0  0.377067  0.0261
313 20.0  0.327659  0.4145
313 21.0  0.305199  0.0655
313 22.0  0.228131  0.1808
313 23.0  0.302103  0.2667
314  0.0  0.235904  0.1556
314  1.0  0.195308  0.5668
314  2.0  0.203038  0.6252
314  3.0  0.032320  0.4101
314  4.0  0.139548  0.4988
314  5.0  0.099873  0.4231
314  6.0  0.110437  0.5331
314  7.0  0.139867  0.0609
314  8.0  0.147702  0.1838
314  9.0  0.167645  0.1066
314 10.0  0.485991  0.0031
314 11.0  0.013082  0.2272
314 12.0  0.103293  0.1556
314 13.0  0.000425  0.3502
314 14.0  0.068859  0.3015
314 15.0  0.163648  0.1367
314 16.0  0.121809  0.2601
314 17.0  0.147784  0.2094
314 18.0  0.367465  0.4163
314 19.0  0.524798  0.0551
314 20.0  0.747447  0.2735
314 21.0  0.329500  0.0179
314 22.0  0.036381  0.2121
314 23.0  0.097961  0.2739
315  0.0  0.157292  0.1822
315  1.0  0.173661  0.2058
315  2.0  0.410530  0.3186
315  3.0  0.441067  0.4101
315  4.0  0.023657  0.2124
315  5.0  0.010563  0.1346
315  6.0  0.138679  0.2899
315  7.0  0.223341  0.0783
315  8.0  0.396900  0.0470
315  9.0  0.431379  0.0070
315 10.0  0.328696  0.1288
315 11.0  0.398231  0.0618
