DOY  Hora mdif    tcdif
249  0.0  0.350675  1.8454
249  1.0  0.680275  0.4420
249  2.0  0.815855  0.2500
249  3.0  0.910677  0.1394
249  4.0  0.631709  0.0437
249  5.0  1.042942  0.1537
249  6.0  1.169980  0.2324
249  7.0  0.994632  0.4317
249  8.0  0.941721  0.4450
249  9.0  1.105567  0.6937
249 10.0  0.824687  0.7820
249 11.0  1.194061  0.4696
249 12.0  1.309202  1.2039
249 13.0  1.930969  0.9812
249 14.0  4.895380  0.6092
249 15.0 10.496230  0.3539
249 16.0  4.821156  0.2136
249 17.0  5.045530  0.0134
249 18.0  3.921771  0.1909
249 19.0  0.828603  0.2014
249 20.0  0.116103  0.0943
249 21.0  0.523023  0.4131
249 22.0  0.113270  0.5765
249 23.0  0.139304  0.4424
250  0.0  0.053028  1.6398
250  1.0  0.182508  2.0363
250  2.0  0.330467  2.6782
250  3.0  0.656461  1.3861
250  4.0  1.431156  0.1019
250  5.0  0.845885  0.2205
250  6.0  1.376939  0.2531
250  7.0  4.101735  0.2086
250  8.0 25.295845  0.2092
250  9.0  5.889866  0.1915
250 10.0  4.613125  0.0650
250 11.0  4.042747  0.3610
250 12.0  2.126906  0.9984
250 13.0  0.760139  0.3247
250 14.0  0.796024  0.0489
250 15.0  2.867894  0.1019
250 16.0  5.369626  0.1383
250 17.0  5.902230  0.2762
250 18.0  3.453382  0.3776
250 19.0  1.959101  0.0216
250 20.0  2.520550  0.2455
250 21.0 33.959270  0.4131
250 22.0  1.456312  0.0776
250 23.0  0.910512  0.1470
251  0.0  0.750900  0.5296
251  1.0  0.490343  0.3599
251  2.0  0.440206  0.3506
251  3.0  0.380853  0.1126
251  4.0  0.294286  0.0049
251  5.0  0.112300  0.2539
251  6.0  0.198690  0.3154
251  7.0  0.080274  0.0719
251  8.0  0.363791  0.0278
251  9.0  0.503453  0.1915
251 10.0  0.483979  0.2243
251 11.0  0.333830  0.0741
