DOY  Hora mdif    tcdif
311  0.0   1.12   2.09
311  1.0   6.86   1.30
311  2.0  10.45   2.68
311  3.0   7.69   2.81
311  4.0   8.99   6.11
311  5.0  10.98   1.94
311  6.0   6.82   5.98
311  7.0  29.99  19.95
311  8.0  85.16  35.15
311  9.0  54.06   3.96
311 10.0  14.03   3.91
311 11.0  31.75   1.07
311 12.0  16.84   2.93
311 13.0  14.27   6.20
311 14.0  11.21   5.01
311 15.0  47.86   5.19
311 16.0  26.77  11.51
311 17.0  71.13   3.13
311 18.0  33.60   5.18
311 19.0  26.98   7.14
311 20.0  15.52   2.62
311 21.0   5.76   4.80
311 22.0  12.93   5.41
311 23.0   5.56   4.81
312  0.0  20.50   2.85
312  1.0  11.56   3.66
312  2.0  14.34   3.61
312  3.0  16.06   3.11
312  4.0  11.03   1.82
312  5.0   9.70   1.70
312  6.0  15.31   3.88
312  7.0   4.04   4.74
312  8.0  12.48   1.69
312  9.0   6.57   1.96
312 10.0  15.37   1.81
312 11.0   6.70   1.87
