DOY  Hora mdif    tcdif
323  0.0  2.375707  0.1193
323  1.0  1.980219  0.0437
323  2.0  1.509311  0.1025
323  3.0  1.204606  0.1159
323  4.0  1.053054  0.0977
323  5.0  1.016788  0.0159
323  6.0  1.101552  0.1042
323  7.0  1.238408  0.3247
323  8.0  0.772906  0.5285
323  9.0  0.939563  0.3433
323 10.0  0.888013  0.2629
323 11.0  1.270552  0.0386
323 12.0  1.585265  0.1591
323 13.0  1.351292  0.1372
323 14.0  1.176905  0.2172
323 15.0  1.087990  0.3787
323 16.0  0.135529  0.2266
323 17.0  0.776901  0.0637
323 18.0  1.354383  0.3023
323 19.0  3.912328  0.5543
323 20.0  4.121971  0.9347
323 21.0  7.867201  1.1521
323 22.0 16.842159  1.7174
323 23.0  9.261041  0.8123
324  0.0  9.921130  1.0568
324  1.0  5.479924  1.5052
324  2.0  4.757697  1.4366
324  3.0  2.456974  1.2581
324  4.0  0.984891  0.6971
324  5.0  0.504442  0.4442
324  6.0  0.293520  0.0336
324  7.0  0.598047  0.4156
324  8.0  0.950672  0.4452
324  9.0  2.242645  0.3150
324 10.0  0.918176  0.0118
324 11.0  0.511942  0.1491
324 12.0  0.913275  0.2216
324 13.0  0.323634  0.0291
324 14.0  0.249079  0.2679
324 15.0  0.104971  0.0920
324 16.0  0.346828  0.2052
324 17.0  0.407443  0.1633
324 18.0  0.263949  0.2162
324 19.0  0.160338  0.3821
324 20.0  0.003259  0.6084
324 21.0  0.041364  0.7986
324 22.0  0.053010  0.9813
324 23.0  0.000356  0.5424
325  0.0  0.073305  1.1307
325  1.0  0.089233  0.8191
325  2.0  0.090285  0.3451
325  3.0  0.020173  0.2545
325  4.0  0.032270  0.1493
325  5.0  0.064894  0.0438
325  6.0  0.322113  0.0095
325  7.0  0.092949  0.5686
325  8.0  0.057484  0.7682
325  9.0  0.186184  0.7562
325 10.0  0.111396  0.4873
325 11.0  0.133937  0.1877
325 12.0  0.150579  0.8409
325 13.0  0.097603  0.1954
325 14.0  0.040075  0.0474
325 15.0  0.043970  0.3381
325 16.0  0.003754  0.0419
325 17.0  0.179083  0.0139
325 18.0  0.340280  0.1387
325 19.0  0.427470  0.3486
325 20.0  0.484052  0.5718
325 21.0  0.255964  0.7308
325 22.0  0.440297  0.5226
325 23.0  0.465776  0.2262
