DOY  Hora mdif    tcdif
134  0.0  0.016381  0.6096
134  1.0  0.183465  0.8086
134  2.0  0.135934  0.2893
134  3.0  0.346743  0.0000
134  4.0  0.500725  0.0410
134  5.0  0.488726  0.0833
134  6.0  0.427733  0.0573
134  7.0  0.219979  0.0672
134  8.0  0.340618  0.1457
134  9.0  0.330703  0.2324
134 10.0  0.114403  0.2172
134 11.0  0.049106  0.3065
134 12.0  0.055070  1.2089
134 13.0  0.138170  0.5896
134 14.0  0.137067  0.4361
134 15.0  0.213774  0.2737
134 16.0  0.320619  0.0691
134 17.0  0.275884  0.1955
134 18.0  0.156011  0.2952
134 19.0  0.087368  0.2099
134 20.0      -NaN  0.0806
134 21.0      -NaN  0.1708
134 22.0  0.361461  0.3766
134 23.0  0.996495  0.2903
135  0.0  0.464258  0.2957
135  1.0  0.086828  0.4193
135  2.0  0.723497  0.5723
135  3.0  0.279428  0.3474
135  4.0  0.085176  0.0611
135  5.0  0.100789  0.2423
135  6.0  0.855224  0.3128
135  7.0  0.017331  0.1026
135  8.0  0.051919  0.4003
135  9.0  0.056992  0.6090
135 10.0  0.032837  0.2434
135 11.0  0.035876  0.0935
135 12.0  0.000474  1.2774
135 13.0  0.029048  1.3682
135 14.0  0.076076  0.6457
135 15.0  0.079899  0.4526
135 16.0  0.008833  0.3013
135 17.0  0.069755  0.0271
135 18.0  0.109735  0.2335
135 19.0  0.125365  0.1333
135 20.0  0.061331  0.1928
135 21.0  0.150829  0.3998
135 22.0  0.153093  0.3911
135 23.0  0.175530  0.4871
136  0.0  0.138467  1.3630
136  1.0      -NaN  1.6115
136  2.0  0.198904  1.0440
136  3.0  0.151631  0.5579
136  4.0  0.000329  0.5215
136  5.0  0.277117  0.3190
136  6.0  0.367627  0.2599
136  7.0  0.130691  0.1804
136  8.0  0.165990  0.2174
136  9.0  0.105930  0.2164
136 10.0  0.033616  0.1503
136 11.0  0.029926  0.0387
