DOY  Hora mdif    tcdif
249  0.0   9.17   0.00
249  1.0  16.51   1.00
249  2.0  16.30   2.00
249  3.0  20.55   3.00
249  4.0  17.54   4.00
249  5.0   1.28   5.00
249  6.0  11.48   6.00
249  7.0  21.54   7.00
249  8.0  13.02   8.00
249  9.0  11.96   9.00
249 10.0  21.76  10.00
249 11.0  36.79  11.00
249 12.0  50.29  12.00
249 13.0  14.45  13.00
249 14.0  19.01  14.00
249 15.0  21.35  15.00
249 16.0  28.25  16.00
249 17.0  32.73  17.00
249 18.0   9.53  18.00
249 19.0   8.25  19.00
249 20.0  13.40  20.00
249 21.0  16.53  21.00
249 22.0  15.64  22.00
249 23.0   4.17  23.00
250  0.0   3.37  24.00
250  1.0  12.75  25.00
250  2.0  14.34  26.00
250  3.0  11.18  27.00
250  4.0  10.03  28.00
250  5.0   7.89  29.00
