DOY  Hora mdif    tcdif
074  0.0    NaN  28.11
074  1.0    NaN    NaN
074  2.0    NaN    NaN
074  3.0    NaN    NaN
074  4.0    NaN    NaN
074  5.0   8.55    NaN
074  6.0    NaN    NaN
074  7.0    NaN    NaN
074  8.0    NaN    NaN
074  9.0    NaN    NaN
074 10.0   8.36  19.49
074 11.0    NaN  20.63
074 12.0    NaN  24.31
074 13.0    NaN    NaN
074 14.0    NaN    NaN
074 15.0    NaN    NaN
074 16.0    NaN    NaN
074 17.0  11.43    NaN
074 18.0   7.97    NaN
074 19.0    NaN    NaN
074 20.0    NaN    NaN
074 21.0  11.93    NaN
074 22.0    NaN    NaN
074 23.0    NaN    NaN
