DOY  Hora mdif    tcdif
146  0.0   3.17   0.00
146  1.0   2.30   1.00
146  2.0   1.97   2.00
146  3.0   1.37   3.00
146  4.0   6.15   4.00
146  5.0   1.63   5.00
146  6.0   2.21   6.00
146  7.0   2.26   7.00
146  8.0   4.40   8.00
146  9.0   6.66   9.00
146 10.0  15.95  10.00
146 11.0  17.77  11.00
146 12.0  49.20  12.00
146 13.0  13.46  13.00
146 14.0  40.90  14.00
146 15.0   9.51  15.00
146 16.0   1.92  16.00
146 17.0   4.76  17.00
146 18.0   1.64  18.00
146 19.0   1.06  19.00
146 20.0   0.76  20.00
146 21.0   4.32  21.00
146 22.0   1.79  22.00
146 23.0   2.41  23.00
147  0.0   2.56  24.00
147  1.0   2.87  25.00
147  2.0   2.55  26.00
147  3.0   1.46  27.00
147  4.0   5.69  28.00
147  5.0   3.62  29.00
