DOY  Hora mdif    tcdif
134  0.0   2.58   0.00
134  1.0   6.28   1.00
134  2.0   3.08   2.00
134  3.0   2.41   3.00
134  4.0   4.03   4.00
134  5.0   7.07   5.00
134  6.0   6.63   6.00
134  7.0  13.43   7.00
134  8.0   8.34   8.00
134  9.0   5.85   9.00
134 10.0   7.49  10.00
134 11.0  12.34  11.00
134 12.0  14.24  12.00
134 13.0  15.95  13.00
134 14.0   6.46  14.00
134 15.0  11.57  15.00
134 16.0   9.60  16.00
134 17.0   9.10  17.00
134 18.0   2.02  18.00
134 19.0  14.20  19.00
134 20.0   7.08  20.00
134 21.0   9.84  21.00
134 22.0   6.62  22.00
134 23.0   4.83  23.00
135  0.0   2.30  24.00
135  1.0  14.53  25.00
135  2.0  16.82  26.00
135  3.0  20.23  27.00
135  4.0  18.61  28.00
135  5.0   2.75  29.00
