index DOY ASY-D ASY-H SYM-D SYM-H
"2004-11-09 00:00:00" 314 51 82 -4 -129
"2004-11-09 01:00:00" 314 50 96 -7 -133
"2004-11-09 02:00:00" 314 37 96 -3 -133
"2004-11-09 03:00:00" 314 17 68 1 -119
"2004-11-09 04:00:00" 314 16 81 1 -124
"2004-11-09 05:00:00" 314 30 46 4 -110
"2004-11-09 06:00:00" 314 28 46 8 -110
"2004-11-09 07:00:00" 314 41 38 6 -96
"2004-11-09 08:00:00" 314 21 36 5 -99
"2004-11-09 09:00:00" 314 26 52 4 -87
"2004-11-09 10:00:00" 314 50 84 3 -72
"2004-11-09 11:00:00" 314 140 109 10 -68
"2004-11-09 12:00:00" 314 94 87 8 -88
"2004-11-09 13:00:00" 314 100 83 12 -106
"2004-11-09 14:00:00" 314 81 72 6 -111
"2004-11-09 15:00:00" 314 125 112 6 -127
"2004-11-09 16:00:00" 314 91 92 7 -127
"2004-11-09 17:00:00" 314 69 71 -13 -115
"2004-11-09 18:00:00" 314 28 52 -4 -100
"2004-11-09 19:00:00" 314 76 102 -14 -111
"2004-11-09 20:00:00" 314 94 244 -29 -215
"2004-11-09 21:00:00" 314 59 98 -8 -224
"2004-11-09 22:00:00" 314 31 71 -2 -183
"2004-11-09 23:00:00" 314 46 62 -4 -173
