jplg 89.0 jplg 90.0 jplg 91.0 jplg 92.0 jplg 93.0
 0.0 69.9 0.0 72.6 0.0 63.9 0.0 74.5 0.0 77.0
 2.0 53.8 2.0 62.4 2.0 43.8 2.0 52.1 2.0 60.4
 4.0 42.4 4.0 57.8 4.0 33.2 4.0 37.2 4.0 51.7
 6.0 37.1 6.0 38.7 6.0 28.8 6.0 33.6 6.0 39.0
 8.0 33.0 8.0 27.5 8.0 26.2 8.0 28.8 8.0 33.3
 10.0 27.7 10.0 28.6 10.0 18.8 10.0 25.6 10.0 26.9
 12.0 35.7 12.0 37.4 12.0 25.6 12.0 38.8 12.0 32.3
 14.0 63.4 14.0 61.7 14.0 69.5 14.0 73.1 14.0 61.5
 16.0 88.7 16.0 82.0 16.0 87.8 16.0 95.3 16.0 84.9
 18.0 104.6 18.0 102.1 18.0 99.1 18.0 110.3 18.0 102.3
 20.0 107.7 20.0 123.4 20.0 102.9 20.0 111.2 20.0 105.7
 22.0 98.4 22.0 101.8 22.0 95.0 22.0 103.0 22.0 95.1

