jplg 164.0 jplg 165.0 jplg 166.0 jplg 167.0 jplg 168.0 jplg 169.0 jplg 170.0 jplg 171.0 jplg 172.0 jplg 173.0 jplg 174.0 jplg 175.0 jplg 176.0 jplg 177.0 jplg 178.0 jplg 179.0 jplg 180.0 jplg 181.0 jplg 182.0 jplg 183.0 jplg 184.0 jplg 185.0 jplg 186.0 jplg 187.0 jplg 188.0 jplg 189.0 jplg 190.0
 0.0 40.5 0.0 64.9 0.0 58.0 0.0 48.8 0.0 55.3 0.0 58.7 0.0 65.4 0.0 60.9 0.0 49.3 0.0 48.5 0.0 67.5 0.0 62.2 0.0 62.2 0.0 50.2 0.0 63.5 0.0 43.6 0.0 50.0 0.0 58.7 0.0 37.7 0.0 53.2 0.0 46.7 0.0 54.0 0.0 52.5 0.0 54.5 0.0 56.2 0.0 46.3 0.0 54.1
 2.0 34.1 2.0 47.8 2.0 47.4 2.0 37.4 2.0 38.2 2.0 43.9 2.0 44.6 2.0 48.8 2.0 38.4 2.0 38.5 2.0 50.2 2.0 45.1 2.0 40.4 2.0 36.0 2.0 43.4 2.0 33.4 2.0 39.6 2.0 44.2 2.0 33.2 2.0 37.0 2.0 43.1 2.0 42.4 2.0 37.8 2.0 40.3 2.0 44.1 2.0 32.7 2.0 39.5
 4.0 28.8 4.0 38.9 4.0 40.0 4.0 29.0 4.0 33.4 4.0 33.5 4.0 33.7 4.0 33.8 4.0 32.1 4.0 27.4 4.0 38.7 4.0 30.6 4.0 33.1 4.0 26.7 4.0 34.5 4.0 28.2 4.0 33.3 4.0 34.9 4.0 24.3 4.0 28.8 4.0 29.3 4.0 34.3 4.0 30.7 4.0 30.8 4.0 35.8 4.0 27.1 4.0 34.3
 6.0 24.7 6.0 31.4 6.0 33.3 6.0 30.7 6.0 29.9 6.0 31.1 6.0 32.7 6.0 31.4 6.0 28.2 6.0 28.5 6.0 33.7 6.0 30.7 6.0 28.7 6.0 22.1 6.0 37.0 6.0 25.6 6.0 32.4 6.0 33.2 6.0 23.8 6.0 28.3 6.0 28.3 6.0 31.4 6.0 26.7 6.0 26.2 6.0 30.3 6.0 25.6 6.0 31.4
 8.0 20.8 8.0 31.0 8.0 28.2 8.0 27.9 8.0 24.8 8.0 27.6 8.0 27.6 8.0 23.1 8.0 25.4 8.0 25.2 8.0 32.4 8.0 28.2 8.0 23.2 8.0 19.0 8.0 30.4 8.0 20.9 8.0 24.8 8.0 25.3 8.0 18.8 8.0 25.1 8.0 21.6 8.0 27.4 8.0 24.3 8.0 22.8 8.0 28.1 8.0 24.0 8.0 28.3
 10.0 18.2 10.0 25.3 10.0 27.0 10.0 24.6 10.0 22.4 10.0 24.5 10.0 23.7 10.0 20.6 10.0 24.4 10.0 22.0 10.0 27.2 10.0 21.3 10.0 20.5 10.0 16.2 10.0 22.9 10.0 19.2 10.0 21.2 10.0 22.0 10.0 15.0 10.0 21.0 10.0 17.0 10.0 23.0 10.0 21.4 10.0 20.4 10.0 23.0 10.0 20.1 10.0 22.2
 12.0 30.1 12.0 32.5 12.0 41.3 12.0 33.9 12.0 33.4 12.0 36.2 12.0 37.7 12.0 38.9 12.0 35.8 12.0 33.8 12.0 35.9 12.0 31.8 12.0 27.4 12.0 29.0 12.0 27.1 12.0 31.9 12.0 36.7 12.0 26.7 12.0 26.5 12.0 28.2 12.0 27.5 12.0 29.4 12.0 25.6 12.0 28.2 12.0 34.5 12.0 31.0 12.0 33.6
 14.0 47.4 14.0 46.0 14.0 59.8 14.0 51.0 14.0 51.6 14.0 55.0 14.0 52.6 14.0 57.1 14.0 44.3 14.0 47.0 14.0 53.4 14.0 43.8 14.0 42.5 14.0 49.3 14.0 32.8 14.0 43.9 14.0 53.4 14.0 28.7 14.0 40.7 14.0 37.8 14.0 43.4 14.0 38.4 14.0 33.8 14.0 39.0 14.0 46.6 14.0 42.8 14.0 49.4
 16.0 65.4 16.0 61.8 16.0 71.0 16.0 60.4 16.0 66.8 16.0 69.6 16.0 64.5 16.0 64.9 16.0 55.9 16.0 58.3 16.0 67.3 16.0 55.8 16.0 54.7 16.0 59.1 16.0 43.7 16.0 53.7 16.0 63.0 16.0 33.8 16.0 50.5 16.0 45.5 16.0 53.3 16.0 51.7 16.0 43.7 16.0 50.1 16.0 54.1 16.0 56.3 16.0 62.3
 18.0 79.0 18.0 70.9 18.0 76.9 18.0 67.4 18.0 75.3 18.0 78.8 18.0 76.2 18.0 69.9 18.0 64.6 18.0 69.9 18.0 77.5 18.0 69.8 18.0 63.9 18.0 70.7 18.0 50.5 18.0 58.4 18.0 70.1 18.0 36.2 18.0 57.0 18.0 53.5 18.0 66.2 18.0 60.5 18.0 53.3 18.0 63.7 18.0 60.7 18.0 64.1 18.0 69.5
