jplg 73.0 jplg 74.0 jplg 75.0 jplg 76.0 jplg 77.0 jplg 78.0 jplg 79.0 jplg 80.0 jplg 81.0 jplg 82.0 jplg 83.0 jplg 84.0 jplg 85.0 jplg 86.0 jplg 87.0 jplg 88.0 jplg 89.0 jplg 90.0 jplg 91.0 jplg 92.0 jplg 93.0 jplg 94.0 jplg 95.0 jplg 96.0 jplg 97.0 jplg 98.0 jplg 99.0
 0.0 58.2 0.0 54.5 0.0 49.1 0.0 53.7 0.0 50.1 0.0 52.0 0.0 63.8 0.0 43.9 0.0 36.6 0.0 54.4 0.0 60.5 0.0 62.3 0.0 63.5 0.0 68.5 0.0 73.6 0.0 70.6 0.0 69.9 0.0 72.6 0.0 63.9 0.0 74.5 0.0 77.0 0.0 73.6 0.0 61.8 0.0 72.8 0.0 71.6 0.0 66.8 0.0 74.9
 2.0 37.2 2.0 37.1 2.0 39.6 2.0 31.1 2.0 30.1 2.0 30.1 2.0 41.1 2.0 27.8 2.0 22.9 2.0 38.9 2.0 42.6 2.0 39.7 2.0 45.2 2.0 52.9 2.0 38.0 2.0 49.7 2.0 53.8 2.0 62.4 2.0 43.8 2.0 52.1 2.0 60.4 2.0 60.9 2.0 53.1 2.0 66.2 2.0 51.6 2.0 47.4 2.0 40.1
 4.0 28.6 4.0 28.5 4.0 38.4 4.0 24.0 4.0 26.9 4.0 24.0 4.0 31.8 4.0 18.0 4.0 18.7 4.0 29.9 4.0 34.5 4.0 31.4 4.0 37.9 4.0 45.4 4.0 28.7 4.0 35.3 4.0 42.4 4.0 57.8 4.0 33.2 4.0 37.2 4.0 51.7 4.0 47.0 4.0 41.5 4.0 45.8 4.0 38.0 4.0 41.6 4.0 30.7
 6.0 23.7 6.0 24.0 6.0 27.4 6.0 20.5 6.0 20.2 6.0 22.8 6.0 29.5 6.0 16.7 6.0 15.5 6.0 28.2 6.0 26.8 6.0 28.2 6.0 32.2 6.0 39.2 6.0 28.9 6.0 29.7 6.0 37.1 6.0 38.7 6.0 28.8 6.0 33.6 6.0 39.0 6.0 40.9 6.0 32.9 6.0 36.0 6.0 33.0 6.0 32.5 6.0 29.2
 8.0 20.0 8.0 18.2 8.0 16.6 8.0 15.9 8.0 15.2 8.0 20.9 8.0 27.9 8.0 13.9 8.0 12.7 8.0 22.8 8.0 23.0 8.0 24.5 8.0 28.0 8.0 30.5 8.0 23.1 8.0 30.5 8.0 33.0 8.0 27.5 8.0 26.2 8.0 28.8 8.0 33.3 8.0 36.2 8.0 29.0 8.0 32.2 8.0 31.8 8.0 27.5 8.0 26.7
 10.0 18.2 10.0 15.5 10.0 12.0 10.0 13.1 10.0 15.5 10.0 17.4 10.0 22.9 10.0 15.0 10.0 13.3 10.0 20.7 10.0 17.9 10.0 22.1 10.0 22.4 10.0 28.5 10.0 19.7 10.0 28.0 10.0 27.7 10.0 28.6 10.0 18.8 10.0 25.6 10.0 26.9 10.0 29.8 10.0 28.2 10.0 30.7 10.0 29.1 10.0 26.0 10.0 22.4
 12.0 23.2 12.0 19.9 12.0 17.5 12.0 18.1 12.0 20.8 12.0 22.8 12.0 29.5 12.0 20.6 12.0 20.7 12.0 28.2 12.0 20.0 12.0 29.2 12.0 29.6 12.0 40.4 12.0 32.1 12.0 33.6 12.0 35.7 12.0 37.4 12.0 25.6 12.0 38.8 12.0 32.3 12.0 39.6 12.0 38.5 12.0 35.6 12.0 38.9 12.0 35.0 12.0 34.1
 14.0 45.0 14.0 45.0 14.0 42.7 14.0 42.4 14.0 49.3 14.0 48.5 14.0 51.4 14.0 41.6 14.0 41.5 14.0 57.1 14.0 53.2 14.0 56.5 14.0 58.3 14.0 64.1 14.0 60.9 14.0 69.8 14.0 63.4 14.0 61.7 14.0 69.5 14.0 73.1 14.0 61.5 14.0 63.7 14.0 67.8 14.0 61.7 14.0 63.9 14.0 60.8 14.0 59.9
 16.0 66.1 16.0 67.8 16.0 60.5 16.0 60.6 16.0 64.9 16.0 71.3 16.0 57.8 16.0 54.2 16.0 59.8 16.0 83.1 16.0 79.0 16.0 80.7 16.0 78.5 16.0 86.3 16.0 87.1 16.0 90.4 16.0 88.7 16.0 82.0 16.0 87.8 16.0 95.3 16.0 84.9 16.0 83.8 16.0 86.5 16.0 86.6 16.0 82.3 16.0 81.3 16.0 81.6
 18.0 81.7 18.0 87.1 18.0 76.7 18.0 74.8 18.0 77.8 18.0 98.0 18.0 70.3 18.0 64.9 18.0 76.3 18.0 99.5 18.0 96.8 18.0 96.1 18.0 94.2 18.0 104.8 18.0 98.6 18.0 98.6 18.0 104.6 18.0 102.1 18.0 99.1 18.0 110.3 18.0 102.3 18.0 102.7 18.0 112.0 18.0 101.4 18.0 95.3 18.0 98.0 18.0 100.4
 20.0 82.1 20.0 86.0 20.0 83.2 20.0 81.3 20.0 86.5 20.0 117.3 20.0 66.6 20.0 63.0 20.0 84.1 20.0 92.1 20.0 98.7 20.0 98.8 20.0 99.8 20.0 111.6 20.0 99.2 20.0 104.2 20.0 107.7 20.0 123.4 20.0 102.9 20.0 111.2 20.0 105.7 20.0 110.5 20.0 116.2 20.0 106.4 20.0 103.2 20.0 97.2 20.0 105.2
 22.0 72.5 22.0 70.4 22.0 75.2 22.0 73.6 22.0 76.5 22.0 102.2 22.0 58.1 22.0 54.5 22.0 76.0 22.0 79.0 22.0 80.8 22.0 85.4 22.0 88.2 22.0 103.0 22.0 90.3 22.0 91.4 22.0 98.4 22.0 101.8 22.0 95.0 22.0 103.0 22.0 95.1 22.0 92.0 22.0 96.8 22.0 93.2 22.0 94.4 22.0 97.1 22.0 85.8

