jplg 222.0 jplg 223.0 jplg 224.0 jplg 225.0 jplg 226.0 jplg 227.0
 0.0 48.5 0.0 54.6 0.0 47.9 0.0 31.1 0.0 31.1 0.0 45.1
 2.0 35.2 2.0 41.3 2.0 38.7 2.0 24.8 2.0 25.2 2.0 31.5
 4.0 29.9 4.0 33.9 4.0 32.4 4.0 21.3 4.0 21.0 4.0 26.8
 6.0 26.9 6.0 29.8 6.0 29.2 6.0 19.5 6.0 16.9 6.0 23.7
 8.0 23.8 8.0 26.2 8.0 30.8 8.0 8.8 8.0 15.1 8.0 19.3
 10.0 19.8 10.0 24.9 10.0 25.3 10.0 5.8 10.0 13.4 10.0 16.7
 12.0 31.7 12.0 40.7 12.0 35.2 12.0 17.3 12.0 24.6 12.0 25.5
 14.0 48.7 14.0 62.2 14.0 47.3 14.0 29.6 14.0 45.6 14.0 44.5
 16.0 63.8 16.0 73.7 16.0 46.8 16.0 31.4 16.0 55.9 16.0 58.1
 18.0 74.5 18.0 78.2 18.0 49.7 18.0 34.9 18.0 65.5 18.0 72.9
 20.0 69.8 20.0 75.7 20.0 42.6 20.0 32.5 20.0 68.0 20.0 72.2
 22.0 66.1 22.0 59.6 22.0 42.0 22.0 33.1 22.0 57.0 22.0 66.4

