jplg 69.0 jplg 70.0 jplg 71.0 jplg 72.0 jplg 73.0 jplg 74.0 jplg 75.0 jplg 76.0 jplg 77.0 jplg 78.0 jplg 79.0 jplg 80.0 jplg 81.0 jplg 82.0 jplg 83.0 jplg 84.0 jplg 85.0 jplg 86.0 jplg 87.0 jplg 88.0 jplg 89.0 jplg 90.0 jplg 91.0 jplg 92.0 jplg 93.0 jplg 94.0 jplg 95.0
 0.0 70.8 0.0 69.4 0.0 72.3 0.0 73.6 0.0 65.7 0.0 63.8 0.0 69.5 0.0 64.2 0.0 68.1 0.0 67.0 0.0 62.4 0.0 61.6 0.0 62.5 0.0 73.0 0.0 66.8 0.0 82.1 0.0 70.3 0.0 68.1 0.0 74.7 0.0 75.6 0.0 81.8 0.0 85.1 0.0 76.0 0.0 73.7 0.0 76.7 0.0 77.2 0.0 78.1
 2.0 44.6 2.0 43.5 2.0 48.6 2.0 47.5 2.0 45.7 2.0 47.0 2.0 44.5 2.0 43.9 2.0 43.4 2.0 45.8 2.0 46.5 2.0 42.1 2.0 45.1 2.0 51.9 2.0 45.6 2.0 57.0 2.0 49.3 2.0 50.0 2.0 58.5 2.0 58.2 2.0 67.7 2.0 63.5 2.0 62.1 2.0 55.4 2.0 61.8 2.0 54.2 2.0 59.3
 4.0 32.7 4.0 34.8 4.0 37.9 4.0 30.7 4.0 37.7 4.0 35.4 4.0 35.2 4.0 35.6 4.0 35.0 4.0 36.4 4.0 38.9 4.0 33.3 4.0 39.5 4.0 35.6 4.0 35.5 4.0 43.5 4.0 41.1 4.0 41.6 4.0 43.9 4.0 46.5 4.0 54.6 4.0 50.1 4.0 44.1 4.0 44.1 4.0 57.8 4.0 48.1 4.0 53.4
 6.0 24.1 6.0 27.9 6.0 30.6 6.0 25.2 6.0 31.5 6.0 25.7 6.0 26.5 6.0 26.4 6.0 28.1 6.0 31.2 6.0 28.1 6.0 26.5 6.0 30.1 6.0 33.9 6.0 30.5 6.0 40.8 6.0 36.8 6.0 32.8 6.0 35.6 6.0 33.8 6.0 40.2 6.0 37.5 6.0 38.5 6.0 32.6 6.0 37.5 6.0 35.4 6.0 39.4
 8.0 19.0 8.0 19.2 8.0 20.8 8.0 20.6 8.0 23.4 8.0 22.5 8.0 22.0 8.0 21.0 8.0 22.5 8.0 22.1 8.0 24.7 8.0 23.1 8.0 22.5 8.0 25.1 8.0 26.8 8.0 28.8 8.0 30.5 8.0 27.8 8.0 29.5 8.0 30.2 8.0 28.4 8.0 32.0 8.0 34.2 8.0 30.6 8.0 32.4 8.0 31.0 8.0 30.7
 10.0 15.1 10.0 15.9 10.0 17.7 10.0 18.7 10.0 16.8 10.0 16.8 10.0 17.7 10.0 17.3 10.0 19.5 10.0 16.2 10.0 20.3 10.0 19.0 10.0 18.1 10.0 20.1 10.0 22.9 10.0 23.4 10.0 27.1 10.0 23.3 10.0 22.4 10.0 26.3 10.0 22.9 10.0 23.4 10.0 30.5 10.0 23.0 10.0 31.0 10.0 20.2 10.0 24.5
 12.0 20.4 12.0 23.4 12.0 25.6 12.0 24.2 12.0 22.9 12.0 23.4 12.0 23.1 12.0 22.5 12.0 26.4 12.0 20.6 12.0 28.4 12.0 26.7 12.0 25.2 12.0 29.2 12.0 28.4 12.0 32.8 12.0 36.4 12.0 30.9 12.0 30.6 12.0 36.4 12.0 34.5 12.0 34.7 12.0 40.6 12.0 33.4 12.0 38.0 12.0 34.0 12.0 34.9
 14.0 51.4 14.0 56.3 14.0 57.9 14.0 60.3 14.0 52.3 14.0 53.2 14.0 49.4 14.0 48.9 14.0 52.6 14.0 46.9 14.0 56.0 14.0 58.5 14.0 55.8 14.0 56.7 14.0 62.7 14.0 64.0 14.0 65.6 14.0 66.0 14.0 63.9 14.0 73.9 14.0 66.1 14.0 66.5 14.0 74.3 14.0 70.6 14.0 78.6 14.0 71.3 14.0 67.1
 16.0 75.6 16.0 87.9 16.0 86.9 16.0 86.8 16.0 77.0 16.0 78.8 16.0 72.2 16.0 71.4 16.0 73.6 16.0 72.7 16.0 77.3 16.0 77.9 16.0 85.0 16.0 82.8 16.0 93.2 16.0 90.5 16.0 84.2 16.0 89.7 16.0 90.2 16.0 94.5 16.0 86.9 16.0 87.8 16.0 101.8 16.0 96.3 16.0 101.1 16.0 95.4 16.0 101.6
 18.0 94.1 18.0 106.0 18.0 106.7 18.0 98.8 18.0 91.6 18.0 94.5 18.0 87.3 18.0 84.7 18.0 90.5 18.0 91.6 18.0 90.1 18.0 97.4 18.0 110.7 18.0 103.2 18.0 115.8 18.0 99.8 18.0 100.4 18.0 109.2 18.0 109.3 18.0 111.6 18.0 104.6 18.0 108.6 18.0 116.8 18.0 112.6 18.0 112.7 18.0 113.2 18.0 124.0
 20.0 98.1 20.0 111.0 20.0 112.4 20.0 102.9 20.0 90.6 20.0 95.4 20.0 89.3 20.0 90.6 20.0 94.4 20.0 97.6 20.0 91.7 20.0 99.9 20.0 114.8 20.0 101.9 20.0 124.1 20.0 103.7 20.0 102.6 20.0 108.1 20.0 113.5 20.0 111.7 20.0 108.9 20.0 107.8 20.0 110.2 20.0 108.8 20.0 106.2 20.0 106.5 20.0 126.0
 22.0 86.8 22.0 93.3 22.0 98.0 22.0 90.7 22.0 74.5 22.0 82.7 22.0 79.1 22.0 83.9 22.0 82.3 22.0 82.5 22.0 73.5 22.0 82.3 22.0 101.1 22.0 85.0 22.0 104.5 22.0 91.3 22.0 88.8 22.0 94.5 22.0 97.3 22.0 96.0 22.0 103.4 22.0 96.5 22.0 93.8 22.0 103.3 22.0 96.5 22.0 95.2 22.0 111.5

