jplg 299.0 jplg 300.0 jplg 301.0 jplg 302.0 jplg 303.0 jplg 304.0 jplg 305.0 jplg 306.0 jplg 307.0 jplg 308.0 jplg 309.0 jplg 310.0 jplg 311.0 jplg 312.0 jplg 313.0 jplg 314.0 jplg 315.0 jplg 316.0 jplg 317.0 jplg 318.0 jplg 319.0 jplg 320.0 jplg 321.0 jplg 322.0 jplg 323.0 jplg 324.0 jplg 325.0
 0.0 61.8 0.0 56.0 0.0 51.0 0.0 57.6 0.0 60.8 0.0 55.2 0.0 60.9 0.0 61.1 0.0 50.7 0.0 48.3 0.0 53.5 0.0 57.3 0.0 86.4 0.0 54.5 0.0 46.7 0.0 47.9 0.0 51.5 0.0 57.1 0.0 48.7 0.0 50.2 0.0 44.1 0.0 48.1 0.0 48.8 0.0 48.8 0.0 47.8 0.0 58.9 0.0 43.8
 2.0 40.1 2.0 37.9 2.0 34.3 2.0 42.1 2.0 37.0 2.0 33.1 2.0 40.1 2.0 41.8 2.0 32.6 2.0 34.6 2.0 31.6 2.0 34.1 2.0 55.3 2.0 34.1 2.0 28.7 2.0 29.8 2.0 30.2 2.0 36.8 2.0 31.0 2.0 28.5 2.0 28.3 2.0 34.8 2.0 26.5 2.0 32.1 2.0 32.7 2.0 31.6 2.0 24.6
 4.0 28.5 4.0 28.0 4.0 24.9 4.0 31.5 4.0 27.5 4.0 25.0 4.0 31.2 4.0 26.0 4.0 23.0 4.0 21.2 4.0 23.5 4.0 27.0 4.0 37.6 4.0 23.8 4.0 20.8 4.0 25.2 4.0 18.6 4.0 26.5 4.0 23.9 4.0 23.1 4.0 19.5 4.0 24.8 4.0 19.8 4.0 18.9 4.0 20.8 4.0 24.4 4.0 17.9
 6.0 22.2 6.0 24.6 6.0 22.4 6.0 26.6 6.0 22.1 6.0 19.2 6.0 26.3 6.0 18.0 6.0 18.0 6.0 16.9 6.0 19.4 6.0 27.8 6.0 29.4 6.0 17.5 6.0 15.6 6.0 18.7 6.0 17.4 6.0 18.6 6.0 19.0 6.0 14.9 6.0 12.7 6.0 17.6 6.0 19.5 6.0 14.3 6.0 13.4 6.0 19.8 6.0 13.5
 8.0 17.9 8.0 23.8 8.0 23.6 8.0 26.6 8.0 22.3 8.0 18.2 8.0 24.1 8.0 18.0 8.0 16.4 8.0 17.0 8.0 15.9 8.0 27.7 8.0 24.8 8.0 16.6 8.0 15.5 8.0 16.8 8.0 17.0 8.0 16.8 8.0 17.5 8.0 14.5 8.0 12.5 8.0 15.7 8.0 16.7 8.0 14.7 8.0 13.5 8.0 18.1 8.0 14.7
 10.0 16.6 10.0 20.2 10.0 25.1 10.0 23.6 10.0 21.6 10.0 17.2 10.0 24.9 10.0 16.0 10.0 14.9 10.0 16.2 10.0 13.9 10.0 23.7 10.0 15.2 10.0 15.8 10.0 14.1 10.0 14.5 10.0 15.2 10.0 15.6 10.0 16.0 10.0 14.2 10.0 12.6 10.0 15.7 10.0 14.1 10.0 14.4 10.0 13.6 10.0 15.3 10.0 14.6
 12.0 30.5 12.0 34.8 12.0 42.8 12.0 34.8 12.0 35.2 12.0 28.3 12.0 38.7 12.0 28.1 12.0 25.3 12.0 27.1 12.0 23.8 12.0 43.7 12.0 25.0 12.0 25.8 12.0 24.1 12.0 24.8 12.0 26.5 12.0 26.0 12.0 24.7 12.0 24.3 12.0 22.6 12.0 27.8 12.0 24.4 12.0 23.3 12.0 22.3 12.0 23.7 12.0 21.7
 14.0 64.1 14.0 69.6 14.0 84.9 14.0 70.8 14.0 71.4 14.0 62.5 14.0 65.8 14.0 56.9 14.0 51.4 14.0 55.0 14.0 52.1 14.0 75.2 14.0 54.5 14.0 54.5 14.0 54.2 14.0 51.2 14.0 58.3 14.0 64.5 14.0 58.3 14.0 51.2 14.0 53.7 14.0 66.3 14.0 56.5 14.0 55.5 14.0 55.7 14.0 53.8 14.0 53.7
 16.0 82.1 16.0 86.3 16.0 98.0 16.0 82.1 16.0 90.7 16.0 86.2 16.0 92.9 16.0 76.6 16.0 68.0 16.0 82.2 16.0 67.2 16.0 89.4 16.0 70.9 16.0 73.8 16.0 75.1 16.0 66.1 16.0 77.3 16.0 78.4 16.0 81.1 16.0 67.2 16.0 74.3 16.0 83.7 16.0 74.9 16.0 65.1 16.0 71.8 16.0 71.5 16.0 71.0
 18.0 86.5 18.0 91.2 18.0 96.1 18.0 87.0 18.0 97.3 18.0 91.6 18.0 100.2 18.0 85.8 18.0 76.5 18.0 84.3 18.0 77.0 18.0 97.8 18.0 84.0 18.0 76.3 18.0 79.5 18.0 73.5 18.0 86.4 18.0 80.4 18.0 92.0 18.0 76.2 18.0 83.7 18.0 86.9 18.0 79.1 18.0 74.8 18.0 87.0 18.0 84.4 18.0 75.5
