index	DOY	Dst
2000-05-16 00:00:00	137	2
2000-05-16 01:00:00	137	1
2000-05-16 02:00:00	137	-6
2000-05-16 03:00:00	137	-23
2000-05-16 04:00:00	137	-32
2000-05-16 05:00:00	137	-9
2000-05-16 06:00:00	137	-6
2000-05-16 07:00:00	137	1
2000-05-16 08:00:00	137	-4
2000-05-16 09:00:00	137	-11
2000-05-16 10:00:00	137	-10
2000-05-16 11:00:00	137	-15
2000-05-16 12:00:00	137	-11
2000-05-16 13:00:00	137	-2
2000-05-16 14:00:00	137	5
2000-05-16 15:00:00	137	-3
2000-05-16 16:00:00	137	-7
2000-05-16 17:00:00	137	-14
2000-05-16 18:00:00	137	-12
2000-05-16 19:00:00	137	-3
2000-05-16 20:00:00	137	-5
2000-05-16 21:00:00	137	-10
2000-05-16 22:00:00	137	-13
2000-05-16 23:00:00	137	-12
