index	DOY	Dst
2000-11-14 00:00:00	319	-15
2000-11-14 01:00:00	319	-14
2000-11-14 02:00:00	319	-15
2000-11-14 03:00:00	319	-14
2000-11-14 04:00:00	319	-12
2000-11-14 05:00:00	319	-10
2000-11-14 06:00:00	319	-9
2000-11-14 07:00:00	319	-9
2000-11-14 08:00:00	319	-10
2000-11-14 09:00:00	319	-10
2000-11-14 10:00:00	319	-7
2000-11-14 11:00:00	319	-8
2000-11-14 12:00:00	319	-8
2000-11-14 13:00:00	319	-6
2000-11-14 14:00:00	319	-4
2000-11-14 15:00:00	319	-3
2000-11-14 16:00:00	319	-3
2000-11-14 17:00:00	319	-3
2000-11-14 18:00:00	319	-4
2000-11-14 19:00:00	319	-4
2000-11-14 20:00:00	319	-5
2000-11-14 21:00:00	319	-6
2000-11-14 22:00:00	319	-6
2000-11-14 23:00:00	319	-6
