index	DOY	Dst
1996-06-24 00:00:00	176	9
1996-06-24 01:00:00	176	6
1996-06-24 02:00:00	176	1
1996-06-24 03:00:00	176	0
1996-06-24 04:00:00	176	2
1996-06-24 05:00:00	176	3
1996-06-24 06:00:00	176	0
1996-06-24 07:00:00	176	-3
1996-06-24 08:00:00	176	-3
1996-06-24 09:00:00	176	-2
1996-06-24 10:00:00	176	2
1996-06-24 11:00:00	176	3
1996-06-24 12:00:00	176	1
1996-06-24 13:00:00	176	1
1996-06-24 14:00:00	176	3
1996-06-24 15:00:00	176	2
1996-06-24 16:00:00	176	4
1996-06-24 17:00:00	176	6
1996-06-24 18:00:00	176	3
1996-06-24 19:00:00	176	-2
1996-06-24 20:00:00	176	-3
1996-06-24 21:00:00	176	0
1996-06-24 22:00:00	176	3
1996-06-24 23:00:00	176	6
