index	DOY	Dst
2001-04-03 00:00:00	93	-41
2001-04-03 01:00:00	93	-36
2001-04-03 02:00:00	93	-37
2001-04-03 03:00:00	93	-34
2001-04-03 04:00:00	93	-30
2001-04-03 05:00:00	93	-32
2001-04-03 06:00:00	93	-36
2001-04-03 07:00:00	93	-35
2001-04-03 08:00:00	93	-33
2001-04-03 09:00:00	93	-30
2001-04-03 10:00:00	93	-33
2001-04-03 11:00:00	93	-32
2001-04-03 12:00:00	93	-32
2001-04-03 13:00:00	93	-28
2001-04-03 14:00:00	93	-27
2001-04-03 15:00:00	93	-25
2001-04-03 16:00:00	93	-22
2001-04-03 17:00:00	93	-28
2001-04-03 18:00:00	93	-26
2001-04-03 19:00:00	93	-20
2001-04-03 20:00:00	93	-17
2001-04-03 21:00:00	93	-18
2001-04-03 22:00:00	93	-20
2001-04-03 23:00:00	93	-23
