index	DOY	Dst
2000-02-16 00:00:00	47	-16
2000-02-16 01:00:00	47	-5
2000-02-16 02:00:00	47	-12
2000-02-16 03:00:00	47	-19
2000-02-16 04:00:00	47	-25
2000-02-16 05:00:00	47	-27
2000-02-16 06:00:00	47	-24
2000-02-16 07:00:00	47	-21
2000-02-16 08:00:00	47	-17
2000-02-16 09:00:00	47	-15
2000-02-16 10:00:00	47	-13
2000-02-16 11:00:00	47	-21
2000-02-16 12:00:00	47	-24
2000-02-16 13:00:00	47	-28
2000-02-16 14:00:00	47	-28
2000-02-16 15:00:00	47	-22
2000-02-16 16:00:00	47	-16
2000-02-16 17:00:00	47	-19
2000-02-16 18:00:00	47	-20
2000-02-16 19:00:00	47	-20
2000-02-16 20:00:00	47	-21
2000-02-16 21:00:00	47	-25
2000-02-16 22:00:00	47	-30
2000-02-16 23:00:00	47	-30
