index	DOY	Dst
2000-12-04 00:00:00	339	-22
2000-12-04 01:00:00	339	-21
2000-12-04 02:00:00	339	-28
2000-12-04 03:00:00	339	-31
2000-12-04 04:00:00	339	-34
2000-12-04 05:00:00	339	-30
2000-12-04 06:00:00	339	-29
2000-12-04 07:00:00	339	-27
2000-12-04 08:00:00	339	-27
2000-12-04 09:00:00	339	-24
2000-12-04 10:00:00	339	-19
2000-12-04 11:00:00	339	-14
2000-12-04 12:00:00	339	-12
2000-12-04 13:00:00	339	-13
2000-12-04 14:00:00	339	-12
2000-12-04 15:00:00	339	-10
2000-12-04 16:00:00	339	-10
2000-12-04 17:00:00	339	-7
2000-12-04 18:00:00	339	-6
2000-12-04 19:00:00	339	-6
2000-12-04 20:00:00	339	-12
2000-12-04 21:00:00	339	-14
2000-12-04 22:00:00	339	-17
2000-12-04 23:00:00	339	-16
