index	DOY	Dst
2017-10-20 00:00:00	293	-15
2017-10-20 01:00:00	293	-10
2017-10-20 02:00:00	293	-8
2017-10-20 03:00:00	293	-9
2017-10-20 04:00:00	293	-11
2017-10-20 05:00:00	293	-16
2017-10-20 06:00:00	293	-17
2017-10-20 07:00:00	293	-14
2017-10-20 08:00:00	293	-10
2017-10-20 09:00:00	293	-10
2017-10-20 10:00:00	293	-10
2017-10-20 11:00:00	293	-11
2017-10-20 12:00:00	293	-11
2017-10-20 13:00:00	293	-8
2017-10-20 14:00:00	293	-8
2017-10-20 15:00:00	293	-7
2017-10-20 16:00:00	293	-9
2017-10-20 17:00:00	293	-12
2017-10-20 18:00:00	293	-11
2017-10-20 19:00:00	293	-9
2017-10-20 20:00:00	293	-9
2017-10-20 21:00:00	293	-12
2017-10-20 22:00:00	293	-11
2017-10-20 23:00:00	293	-7
