index	DOY	Dst
2004-04-22 00:00:00	113	7
2004-04-22 01:00:00	113	8
2004-04-22 02:00:00	113	9
2004-04-22 03:00:00	113	11
2004-04-22 04:00:00	113	16
2004-04-22 05:00:00	113	15
2004-04-22 06:00:00	113	16
2004-04-22 07:00:00	113	14
2004-04-22 08:00:00	113	12
2004-04-22 09:00:00	113	14
2004-04-22 10:00:00	113	15
2004-04-22 11:00:00	113	15
2004-04-22 12:00:00	113	12
2004-04-22 13:00:00	113	14
2004-04-22 14:00:00	113	15
2004-04-22 15:00:00	113	14
2004-04-22 16:00:00	113	15
2004-04-22 17:00:00	113	17
2004-04-22 18:00:00	113	16
2004-04-22 19:00:00	113	16
2004-04-22 20:00:00	113	19
2004-04-22 21:00:00	113	18
2004-04-22 22:00:00	113	16
2004-04-22 23:00:00	113	15
