index	DOY	Dst
2015-09-09 00:00:00	252	-10
2015-09-09 01:00:00	252	-20
2015-09-09 02:00:00	252	-36
2015-09-09 03:00:00	252	-51
2015-09-09 04:00:00	252	-63
2015-09-09 05:00:00	252	-80
2015-09-09 06:00:00	252	-83
2015-09-09 07:00:00	252	-80
2015-09-09 08:00:00	252	-92
2015-09-09 09:00:00	252	-94
2015-09-09 10:00:00	252	-88
2015-09-09 11:00:00	252	-93
2015-09-09 12:00:00	252	-98
2015-09-09 13:00:00	252	-92
2015-09-09 14:00:00	252	-86
2015-09-09 15:00:00	252	-88
2015-09-09 16:00:00	252	-88
2015-09-09 17:00:00	252	-79
2015-09-09 18:00:00	252	-83
2015-09-09 19:00:00	252	-86
2015-09-09 20:00:00	252	-86
2015-09-09 21:00:00	252	-87
2015-09-09 22:00:00	252	-73
2015-09-09 23:00:00	252	-59
