index	DOY	Dst
1996-03-08 00:00:00	68	-9
1996-03-08 01:00:00	68	-7
1996-03-08 02:00:00	68	-4
1996-03-08 03:00:00	68	-2
1996-03-08 04:00:00	68	-6
1996-03-08 05:00:00	68	-11
1996-03-08 06:00:00	68	-19
1996-03-08 07:00:00	68	-27
1996-03-08 08:00:00	68	-30
1996-03-08 09:00:00	68	-21
1996-03-08 10:00:00	68	-8
1996-03-08 11:00:00	68	-9
1996-03-08 12:00:00	68	-15
1996-03-08 13:00:00	68	-17
1996-03-08 14:00:00	68	-13
1996-03-08 15:00:00	68	-12
1996-03-08 16:00:00	68	-11
1996-03-08 17:00:00	68	-12
1996-03-08 18:00:00	68	-9
1996-03-08 19:00:00	68	-5
1996-03-08 20:00:00	68	-2
1996-03-08 21:00:00	68	-2
1996-03-08 22:00:00	68	-5
1996-03-08 23:00:00	68	-7
