index DOY Dst
"2003-08-01 00:00:00" 213 -40
"2003-08-01 01:00:00" 213 -45
"2003-08-01 02:00:00" 213 -38
"2003-08-01 03:00:00" 213 -32
"2003-08-01 04:00:00" 213 -36
"2003-08-01 05:00:00" 213 -41
"2003-08-01 06:00:00" 213 -47
"2003-08-01 07:00:00" 213 -39
"2003-08-01 08:00:00" 213 -32
"2003-08-01 09:00:00" 213 -25
"2003-08-01 10:00:00" 213 -27
"2003-08-01 11:00:00" 213 -28
"2003-08-01 12:00:00" 213 -30
"2003-08-01 13:00:00" 213 -27
"2003-08-01 14:00:00" 213 -25
"2003-08-01 15:00:00" 213 -27
"2003-08-01 16:00:00" 213 -29
"2003-08-01 17:00:00" 213 -32
"2003-08-01 18:00:00" 213 -30
"2003-08-01 19:00:00" 213 -31
"2003-08-01 20:00:00" 213 -29
"2003-08-01 21:00:00" 213 -31
"2003-08-01 22:00:00" 213 -34
"2003-08-01 23:00:00" 213 -32
