index DOY Dst
"2003-12-07 00:00:00" 341 -29
"2003-12-07 01:00:00" 341 -32
"2003-12-07 02:00:00" 341 -32
"2003-12-07 03:00:00" 341 -32
"2003-12-07 04:00:00" 341 -32
"2003-12-07 05:00:00" 341 -28
"2003-12-07 06:00:00" 341 -26
"2003-12-07 07:00:00" 341 -24
"2003-12-07 08:00:00" 341 -22
"2003-12-07 09:00:00" 341 -15
"2003-12-07 10:00:00" 341 -12
"2003-12-07 11:00:00" 341 -11
"2003-12-07 12:00:00" 341 -15
"2003-12-07 13:00:00" 341 -18
"2003-12-07 14:00:00" 341 -3
"2003-12-07 15:00:00" 341 -10
"2003-12-07 16:00:00" 341 -12
"2003-12-07 17:00:00" 341 -9
"2003-12-07 18:00:00" 341 -23
"2003-12-07 19:00:00" 341 -38
"2003-12-07 20:00:00" 341 -29
"2003-12-07 21:00:00" 341 -23
"2003-12-07 22:00:00" 341 -26
"2003-12-07 23:00:00" 341 -25
