index DOY Dst
"2003-07-10 00:00:00" 191 8
"2003-07-10 01:00:00" 191 6
"2003-07-10 02:00:00" 191 6
"2003-07-10 03:00:00" 191 4
"2003-07-10 04:00:00" 191 3
"2003-07-10 05:00:00" 191 4
"2003-07-10 06:00:00" 191 8
"2003-07-10 07:00:00" 191 12
"2003-07-10 08:00:00" 191 10
"2003-07-10 09:00:00" 191 10
"2003-07-10 10:00:00" 191 13
"2003-07-10 11:00:00" 191 14
"2003-07-10 12:00:00" 191 16
"2003-07-10 13:00:00" 191 17
"2003-07-10 14:00:00" 191 19
"2003-07-10 15:00:00" 191 21
"2003-07-10 16:00:00" 191 20
"2003-07-10 17:00:00" 191 23
"2003-07-10 18:00:00" 191 22
"2003-07-10 19:00:00" 191 18
"2003-07-10 20:00:00" 191 15
"2003-07-10 21:00:00" 191 9
"2003-07-10 22:00:00" 191 8
"2003-07-10 23:00:00" 191 5
