index DOY Dst
"2003-07-12 00:00:00" 193 -71
"2003-07-12 01:00:00" 193 -77
"2003-07-12 02:00:00" 193 -65
"2003-07-12 03:00:00" 193 -68
"2003-07-12 04:00:00" 193 -93
"2003-07-12 05:00:00" 193 -105
"2003-07-12 06:00:00" 193 -91
"2003-07-12 07:00:00" 193 -78
"2003-07-12 08:00:00" 193 -76
"2003-07-12 09:00:00" 193 -70
"2003-07-12 10:00:00" 193 -67
"2003-07-12 11:00:00" 193 -59
"2003-07-12 12:00:00" 193 -52
"2003-07-12 13:00:00" 193 -55
"2003-07-12 14:00:00" 193 -51
"2003-07-12 15:00:00" 193 -53
"2003-07-12 16:00:00" 193 -52
"2003-07-12 17:00:00" 193 -48
"2003-07-12 18:00:00" 193 -51
"2003-07-12 19:00:00" 193 -53
"2003-07-12 20:00:00" 193 -49
"2003-07-12 21:00:00" 193 -48
"2003-07-12 22:00:00" 193 -47
"2003-07-12 23:00:00" 193 -42
