index DOY Dst
"2003-03-31 00:00:00" 90 -61
"2003-03-31 01:00:00" 90 -56
"2003-03-31 02:00:00" 90 -50
"2003-03-31 03:00:00" 90 -50
"2003-03-31 04:00:00" 90 -42
"2003-03-31 05:00:00" 90 -33
"2003-03-31 06:00:00" 90 -28
"2003-03-31 07:00:00" 90 -34
"2003-03-31 08:00:00" 90 -41
"2003-03-31 09:00:00" 90 -52
"2003-03-31 10:00:00" 90 -53
"2003-03-31 11:00:00" 90 -56
"2003-03-31 12:00:00" 90 -59
"2003-03-31 13:00:00" 90 -61
"2003-03-31 14:00:00" 90 -68
"2003-03-31 15:00:00" 90 -78
"2003-03-31 16:00:00" 90 -76
"2003-03-31 17:00:00" 90 -60
"2003-03-31 18:00:00" 90 -67
"2003-03-31 19:00:00" 90 -72
"2003-03-31 20:00:00" 90 -72
"2003-03-31 21:00:00" 90 -67
"2003-03-31 22:00:00" 90 -68
"2003-03-31 23:00:00" 90 -60
