2019-07-26 00:00:00.000 207      9999.00 999999.00 999999.00 999999.00
2019-07-26 00:01:01.000 207       315.97  27430.38  29959.96  40620.49
2019-07-26 00:02:00.000 207       315.98  27430.45  29960.11  40620.66
2019-07-26 00:03:00.000 207       315.98  27430.76  29960.11  40620.86
2019-07-26 00:04:00.000 207       315.96  27430.91  29960.26  40621.08
2019-07-26 00:05:00.000 207       315.98  27430.84  29960.41  40621.14
2019-07-26 00:06:00.000 207       315.99  27430.99  29960.64  40621.41
2019-07-26 00:07:00.000 207       315.99  27431.06  29960.79  40621.58
2019-07-26 00:08:00.000 207       315.99  27430.99  29960.95  40621.64
2019-07-26 00:09:00.000 207       315.98  27431.37  29960.79  40621.78
2019-07-26 00:10:00.000 207       315.99  27431.45  29961.10  40622.06
2019-07-26 00:11:00.000 207       315.98  27431.60  29961.18  40622.22
2019-07-26 00:12:00.000 207       316.03  27431.37  29961.48  40622.29
2019-07-26 00:13:00.000 207       316.02  27431.75  29961.48  40622.55
2019-07-26 00:14:00.000 207       316.00  27432.13  29961.63  40622.92
2019-07-26 00:15:00.000 207       316.04  27432.29  29961.79  40623.13
2019-07-26 00:16:00.000 207       316.00  27432.89  29961.86  40623.60
2019-07-26 00:17:00.000 207       316.03  27432.82  29962.17  40623.77
2019-07-26 00:18:00.000 207       316.03  27433.05  29962.32  40624.04
2019-07-26 00:19:00.000 207       316.05  27433.12  29962.55  40624.26
2019-07-26 00:20:00.000 207       316.04  27433.35  29962.47  40624.36
2019-07-26 00:21:00.000 207       316.04  27433.35  29962.62  40624.47
2019-07-26 00:22:00.000 207       316.06  27433.05  29962.93  40624.49
2019-07-26 00:23:00.000 207       316.04  27433.58  29962.78  40624.74
2019-07-26 00:24:00.000 207       316.07  27433.05  29963.08  40624.61
2019-07-26 00:25:00.000 207       316.07  27433.58  29962.93  40624.86
2019-07-26 00:26:00.000 207       316.10  27433.51  29963.01  40624.86
2019-07-26 00:27:00.000 207       316.08  27433.51  29963.16  40624.97
2019-07-26 00:28:00.000 207       316.09  27433.58  29963.24  40625.08
2019-07-26 00:29:00.000 207       316.07  27433.66  29963.31  40625.18
2019-07-26 00:30:00.000 207       316.09  27433.58  29963.31  40625.13
2019-07-26 00:31:00.000 207       316.12  27433.43  29963.62  40625.26
2019-07-26 00:32:00.000 207       316.11  27433.73  29963.54  40625.41
2019-07-26 00:33:00.000 207       316.12  27433.66  29963.62  40625.41
2019-07-26 00:34:00.000 207       316.13  27433.73  29963.62  40625.46
2019-07-26 00:35:00.000 207       316.12  27433.89  29963.69  40625.62
2019-07-26 00:36:00.000 207       316.15  27434.04  29963.69  40625.72
2019-07-26 00:37:00.000 207       316.17  27433.81  29963.85  40625.68
2019-07-26 00:38:00.000 207       316.14  27434.19  29963.62  40625.77
2019-07-26 00:39:00.000 207       316.15  27434.27  29963.77  40625.93
2019-07-26 00:40:00.000 207       316.21  27433.81  29963.92  40625.74
