2019-08-12 00:00:01.000 224       316.34  27419.31  29964.23  40616.18
2019-08-12 00:01:00.000 224       316.33  27419.47  29964.30  40616.34
2019-08-12 00:02:00.000 224       316.35  27419.24  29964.23  40616.12
2019-08-12 00:03:00.000 224       316.37  27418.93  29964.46  40616.09
2019-08-12 00:04:00.000 224       316.35  27419.01  29964.38  40616.09
2019-08-12 00:05:00.000 224       316.40  27418.71  29964.53  40615.99
2019-08-12 00:06:00.000 224       316.34  27419.54  29964.07  40616.21
2019-08-12 00:07:00.000 224       316.39  27419.01  29964.61  40616.25
2019-08-12 00:08:00.000 224       316.39  27419.24  29964.61  40616.41
2019-08-12 00:09:00.000 224       316.40  27419.31  29964.53  40616.40
2019-08-12 00:10:00.000 224       316.41  27419.24  29964.53  40616.35
2019-08-12 00:11:00.000 224       316.39  27419.16  29964.38  40616.18
2019-08-12 00:12:00.000 224       316.46  27419.16  29964.53  40616.30
2019-08-12 00:13:00.000 224       316.44  27419.31  29964.69  40616.51
2019-08-12 00:14:00.000 224       316.45  27419.47  29964.76  40616.67
2019-08-12 00:15:00.000 224       316.40  27420.08  29964.46  40616.86
2019-08-12 00:16:00.000 224       316.46  27419.77  29964.99  40617.05
2019-08-12 00:17:00.000 224       316.46  27420.08  29964.69  40617.03
2019-08-12 00:18:00.000 224       316.49  27420.08  29964.99  40617.25
2019-08-12 00:19:00.000 224       316.50  27420.08  29965.07  40617.31
2019-08-12 00:20:00.000 224       316.52  27420.08  29964.99  40617.25
2019-08-12 00:21:00.000 224       316.53  27420.46  29965.07  40617.57
2019-08-12 00:22:00.000 224       316.53  27420.31  29965.30  40617.64
2019-08-12 00:23:00.000 224       316.57  27420.08  29965.37  40617.54
2019-08-12 00:24:00.000 224       316.56  27420.54  29965.45  40617.90
2019-08-12 00:25:00.000 224       316.56  27420.31  29965.53  40617.80
2019-08-12 00:26:00.000 224       316.60  27420.38  29965.60  40617.91
2019-08-12 00:27:00.000 224       316.59  27420.23  29965.45  40617.70
2019-08-12 00:28:00.000 224       316.60  27420.31  29965.68  40617.91
2019-08-12 00:29:00.000 224       316.61  27420.76  29965.68  40618.22
2019-08-12 00:30:00.000 224       316.58  27420.61  29965.98  40618.35
2019-08-12 00:31:00.000 224       316.56  27420.69  29965.83  40618.29
2019-08-12 00:32:00.000 224       316.61  27420.54  29965.83  40618.18
2019-08-12 00:33:00.000 224       316.63  27421.15  29965.68  40618.48
2019-08-12 00:34:00.000 224       316.54  27420.38  29965.83  40618.08
2019-08-12 00:35:00.000 224       316.68  27420.84  29966.06  40618.55
2019-08-12 00:36:00.000 224       316.63  27421.53  29966.13  40619.08
2019-08-12 00:37:00.000 224       316.67  27420.31  29965.98  40618.14
2019-08-12 00:38:00.000 224       316.68  27420.46  29966.52  40618.64
2019-08-12 00:39:00.000 224       316.60  27420.76  29966.29  40618.68
2019-08-12 00:40:00.000 224       316.63  27420.76  29965.98  40618.45
2019-08-12 00:41:00.000 224       316.66  27420.38  29966.29  40618.42
2019-08-12 00:42:00.000 224       316.63  27420.54  29966.13  40618.41
2019-08-12 00:43:00.000 224       316.65  27420.54  29966.13  40618.41
2019-08-12 00:44:00.000 224       316.64  27420.69  29966.13  40618.51
2019-08-12 00:45:00.000 224       316.65  27420.54  29966.13  40618.41
2019-08-12 00:46:00.000 224       316.63  27420.69  29966.06  40618.45
2019-08-12 00:47:00.000 224       316.64  27420.61  29966.13  40618.46
2019-08-12 00:48:00.000 224       316.66  27420.99  29966.21  40618.77
2019-08-12 00:49:00.000 224       316.61  27420.99  29966.13  40618.71
2019-08-12 00:50:00.000 224       316.63  27420.99  29966.21  40618.77
2019-08-12 00:51:00.000 224       316.67  27420.38  29966.44  40618.53
2019-08-12 00:52:00.000 224       316.66  27420.38  29966.29  40618.42
2019-08-12 00:53:00.000 224       316.65  27420.76  29966.13  40618.56
2019-08-12 00:54:00.000 224       316.62  27420.84  29965.98  40618.50
2019-08-12 00:55:00.000 224       316.64  27420.54  29966.21  40618.46
2019-08-12 00:56:00.000 224       316.64  27420.84  29966.13  40618.61
2019-08-12 00:57:00.000 224       316.61  27421.22  29966.06  40618.82
2019-08-12 00:58:00.000 224       316.58  27421.38  29966.29  40619.09
2019-08-12 00:59:00.000 224       316.68  27421.83  29966.36  40619.45
2019-08-12 01:00:00.000 224       316.58  27421.45  29966.44  40619.25
2019-08-12 01:01:00.000 224       316.64  27421.07  29966.44  40618.99
2019-08-12 01:02:00.000 224       316.63  27420.92  29966.21  40618.72
2019-08-12 01:03:00.000 224       316.65  27420.69  29966.29  40618.62
2019-08-12 01:04:00.000 224       316.64  27420.61  29966.21  40618.52
2019-08-12 01:05:00.000 224       316.67  27420.46  29966.21  40618.41
2019-08-12 01:06:00.000 224       316.65  27420.31  29966.29  40618.37
2019-08-12 01:07:00.000 224       316.63  27420.15  29966.13  40618.15
2019-08-12 01:08:00.000 224       316.67  27419.70  29966.36  40618.01
2019-08-12 01:09:00.000 224       316.61  27420.08  29966.13  40618.10
2019-08-12 01:10:00.000 224       316.59  27419.77  29966.21  40617.95
2019-08-12 01:11:00.000 224       316.62  27419.62  29966.21  40617.85
2019-08-12 01:12:00.000 224       316.63  27419.16  29966.29  40617.59
2019-08-12 01:13:00.000 224       316.62  27419.47  29966.21  40617.74
2019-08-12 01:14:00.000 224       316.63  27419.70  29966.29  40617.95
2019-08-12 01:15:00.000 224       316.62  27419.77  29966.29  40618.00
2019-08-12 01:16:00.000 224       316.62  27419.62  29966.29  40617.90
2019-08-12 01:17:00.000 224       316.67  27419.70  29966.36  40618.01
2019-08-12 01:18:00.000 224       316.64  27419.93  29966.44  40618.22
2019-08-12 01:19:00.000 224       316.65  27419.85  29966.44  40618.17
2019-08-12 01:20:00.000 224       316.65  27419.93  29966.36  40618.16
2019-08-12 01:21:00.000 224       316.67  27420.15  29966.44  40618.38
2019-08-12 01:22:00.000 224       316.64  27420.15  29966.52  40618.43
2019-08-12 01:23:00.000 224       316.63  27420.15  29966.52  40618.43
2019-08-12 01:24:00.000 224       316.63  27420.31  29966.36  40618.42
2019-08-12 01:25:00.000 224       316.62  27420.46  29966.44  40618.58
2019-08-12 01:26:00.000 224       316.66  27420.15  29966.59  40618.49
2019-08-12 01:27:00.000 224       316.62  27420.31  29966.59  40618.59
2019-08-12 01:28:00.000 224       316.59  27420.61  29966.67  40618.85
2019-08-12 01:29:00.000 224       316.62  27420.15  29966.82  40618.66
2019-08-12 01:30:00.000 224       316.60  27420.46  29966.90  40618.92
2019-08-12 01:31:00.000 224       316.58  27420.54  29966.82  40618.91
2019-08-12 01:32:00.000 224       316.56  27420.23  29966.90  40618.77
2019-08-12 01:33:00.000 224       316.61  27420.31  29966.75  40618.70
2019-08-12 01:34:00.000 224       316.59  27420.31  29966.82  40618.76
2019-08-12 01:35:00.000 224       316.60  27420.08  29966.90  40618.66
2019-08-12 01:36:00.000 224       316.62  27420.46  29966.82  40618.86
2019-08-12 01:37:00.000 224       316.65  27420.31  29967.05  40618.93
2019-08-12 01:38:00.000 224       316.64  27420.84  29966.82  40619.12
2019-08-12 01:39:00.000 224       316.64  27421.15  29966.90  40619.38
2019-08-12 01:40:00.000 224       316.62  27421.45  29967.05  40619.70
2019-08-12 01:41:00.000 224       316.63  27421.38  29967.13  40619.71
2019-08-12 01:42:00.000 224       316.60  27421.76  29967.13  40619.96
2019-08-12 01:43:00.000 224       316.54  27422.14  29967.05  40620.16
2019-08-12 01:44:00.000 224       316.59  27421.68  29967.43  40620.14
2019-08-12 01:45:00.000 224       316.53  27422.21  29967.28  40620.39
2019-08-12 01:46:00.000 224       316.54  27422.44  29967.20  40620.48
2019-08-12 01:47:00.000 224       316.55  27422.60  29967.58  40620.87
2019-08-12 01:48:00.000 224       316.52  27423.28  29967.74  40621.45
2019-08-12 01:49:00.000 224       316.51  27423.59  29967.43  40621.43
2019-08-12 01:50:00.000 224       316.51  27424.12  29967.51  40621.84
2019-08-12 01:51:00.000 224       316.53  27424.27  29967.43  40621.89
2019-08-12 01:52:00.000 224       316.54  27424.50  29967.51  40622.10
2019-08-12 01:53:00.000 224       316.57  27424.20  29967.74  40622.06
2019-08-12 01:54:00.000 224       316.52  27424.35  29967.43  40621.94
2019-08-12 01:55:00.000 224       316.53  27424.04  29967.51  40621.79
2019-08-12 01:56:00.000 224       316.48  27424.27  29967.51  40621.94
2019-08-12 01:57:00.000 224       316.51  27424.27  29967.66  40622.05
2019-08-12 01:58:00.000 224       316.48  27424.12  29967.74  40622.01
2019-08-12 01:59:00.000 224       316.47  27424.27  29967.58  40622.00
2019-08-12 02:00:00.000 224       316.45  27424.73  29967.66  40622.37
2019-08-12 02:01:00.000 224       316.50  27424.96  29967.74  40622.58
2019-08-12 02:02:00.000 224       316.48  27425.42  29967.74  40622.89
2019-08-12 02:03:00.000 224       316.52  27425.65  29967.74  40623.04
2019-08-12 02:04:00.000 224       316.53  27425.19  29967.81  40622.79
2019-08-12 02:05:00.000 224       316.48  27424.96  29967.74  40622.58
2019-08-12 02:06:00.000 224       316.44  27424.81  29967.89  40622.59
2019-08-12 02:07:00.000 224       316.42  27424.88  29967.74  40622.52
2019-08-12 02:08:00.000 224       316.44  27424.81  29967.81  40622.53
2019-08-12 02:09:00.000 224       316.42  27425.27  29967.58  40622.67
2019-08-12 02:10:00.000 224       316.47  27424.81  29967.81  40622.53
2019-08-12 02:11:00.000 224       316.44  27425.34  29967.58  40622.72
2019-08-12 02:12:00.000 224       316.43  27425.04  29967.66  40622.57
2019-08-12 02:13:00.000 224       316.41  27425.11  29967.66  40622.62
