jplg 100.0 jplg 101.0 jplg 102.0 jplg 103.0 jplg 104.0 jplg 105.0
 0.0 66.5 0.0 66.5 0.0 105.7 0.0 50.2 0.0 58.8 0.0 47.8
 2.0 49.6 2.0 52.5 2.0 68.3 2.0 35.4 2.0 37.3 2.0 38.5
 4.0 36.6 4.0 36.9 4.0 48.0 4.0 25.5 4.0 25.9 4.0 34.2
 6.0 33.7 6.0 31.8 6.0 47.5 6.0 20.1 6.0 25.5 6.0 20.4
 8.0 23.4 8.0 29.9 8.0 42.5 8.0 17.6 8.0 19.9 8.0 17.7
 10.0 21.5 10.0 27.2 10.0 42.2 10.0 16.2 10.0 14.4 10.0 16.1
 12.0 31.9 12.0 34.7 12.0 46.1 12.0 28.8 12.0 26.5 12.0 24.5
 14.0 50.5 14.0 54.8 14.0 59.0 14.0 41.8 14.0 44.8 14.0 44.6
 16.0 74.6 16.0 86.1 16.0 74.2 16.0 64.1 16.0 64.0 16.0 64.0
 18.0 97.8 18.0 127.8 18.0 79.3 18.0 98.8 18.0 83.8 18.0 80.8
 20.0 111.0 20.0 143.4 20.0 76.4 20.0 99.0 20.0 76.2 20.0 85.7
 22.0 92.5 22.0 121.0 22.0 58.5 22.0 80.4 22.0 57.3 22.0 82.3

