jplg 119.0 jplg 120.0 jplg 121.0 jplg 122.0 jplg 123.0 jplg 124.0 jplg 125.0 jplg 126.0 jplg 127.0 jplg 128.0 jplg 129.0 jplg 130.0 jplg 131.0 jplg 132.0 jplg 133.0 jplg 134.0 jplg 135.0 jplg 136.0 jplg 137.0 jplg 138.0 jplg 139.0 jplg 140.0 jplg 141.0 jplg 142.0 jplg 143.0 jplg 144.0 jplg 145.0
 0.0 26.7 0.0 22.9 0.0 25.4 0.0 27.1 0.0 25.2 0.0 25.4 0.0 26.4 0.0 26.9 0.0 27.6 0.0 28.4 0.0 29.9 0.0 27.4 0.0 22.2 0.0 26.3 0.0 24.9 0.0 26.4 0.0 24.3 0.0 30.3 0.0 25.3 0.0 25.8 0.0 24.8 0.0 30.3 0.0 27.4 0.0 26.1 0.0 24.7 0.0 26.6 0.0 25.4
 2.0 19.3 2.0 17.8 2.0 16.9 2.0 19.4 2.0 18.9 2.0 22.0 2.0 19.7 2.0 18.9 2.0 19.6 2.0 19.7 2.0 21.5 2.0 15.7 2.0 17.6 2.0 16.4 2.0 17.8 2.0 18.5 2.0 18.3 2.0 19.0 2.0 18.7 2.0 18.4 2.0 18.8 2.0 20.0 2.0 24.0 2.0 19.0 2.0 19.2 2.0 20.5 2.0 17.5
 4.0 11.2 4.0 11.6 4.0 9.6 4.0 10.6 4.0 11.1 4.0 9.4 4.0 11.6 4.0 10.1 4.0 11.0 4.0 10.9 4.0 10.0 4.0 8.7 4.0 11.0 4.0 9.2 4.0 9.7 4.0 12.2 4.0 11.5 4.0 10.7 4.0 9.7 4.0 11.3 4.0 10.1 4.0 14.0 4.0 11.2 4.0 11.8 4.0 10.3 4.0 11.8 4.0 10.3
 6.0 10.9 6.0 10.4 6.0 9.0 6.0 9.6 6.0 10.9 6.0 9.3 6.0 10.4 6.0 9.4 6.0 11.1 6.0 9.7 6.0 9.0 6.0 8.1 6.0 9.3 6.0 9.2 6.0 9.9 6.0 10.4 6.0 10.2 6.0 10.6 6.0 8.6 6.0 10.8 6.0 10.4 6.0 13.0 6.0 10.8 6.0 9.4 6.0 8.6 6.0 9.3 6.0 8.9
 8.0 8.7 8.0 8.7 8.0 8.6 8.0 8.8 8.0 8.8 8.0 8.2 8.0 9.2 8.0 8.4 8.0 8.4 8.0 8.2 8.0 8.3 8.0 7.8 8.0 8.2 8.0 8.0 8.0 8.8 8.0 9.5 8.0 9.5 8.0 9.7 8.0 7.9 8.0 9.8 8.0 9.1 8.0 12.0 8.0 9.9 8.0 8.6 8.0 8.4 8.0 8.8 8.0 8.6
 10.0 8.5 10.0 7.9 10.0 8.3 10.0 8.0 10.0 8.2 10.0 7.7 10.0 8.6 10.0 8.1 10.0 8.6 10.0 8.0 10.0 7.5 10.0 7.4 10.0 7.4 10.0 7.0 10.0 7.7 10.0 8.1 10.0 8.5 10.0 9.8 10.0 7.5 10.0 9.1 10.0 7.4 10.0 9.2 10.0 9.6 10.0 8.0 10.0 8.9 10.0 7.9 10.0 8.2
 12.0 7.7 12.0 7.0 12.0 7.6 12.0 7.1 12.0 7.9 12.0 7.7 12.0 8.4 12.0 7.8 12.0 7.2 12.0 7.5 12.0 7.5 12.0 7.2 12.0 7.4 12.0 7.3 12.0 7.8 12.0 8.5 12.0 8.4 12.0 9.4 12.0 7.4 12.0 9.1 12.0 8.1 12.0 8.5 12.0 9.9 12.0 8.7 12.0 8.4 12.0 8.7 12.0 8.5
 14.0 12.0 14.0 13.2 14.0 12.7 14.0 13.2 14.0 16.2 14.0 14.8 14.0 17.2 14.0 15.3 14.0 12.9 14.0 13.6 14.0 14.1 14.0 12.9 14.0 14.8 14.0 12.0 14.0 13.1 14.0 15.2 14.0 15.6 14.0 14.5 14.0 12.0 14.0 15.9 14.0 15.2 14.0 12.2 14.0 14.6 14.0 15.1 14.0 14.4 14.0 15.6 14.0 13.9
 16.0 14.5 16.0 15.9 16.0 17.1 16.0 17.6 16.0 18.7 16.0 16.4 16.0 22.0 16.0 14.8 16.0 17.4 16.0 17.8 16.0 17.8 16.0 16.4 16.0 16.2 16.0 15.1 16.0 14.8 16.0 17.3 16.0 16.8 16.0 19.7 16.0 15.8 16.0 18.2 16.0 18.9 16.0 17.1 16.0 17.8 16.0 17.4 16.0 16.7 16.0 18.2 16.0 15.9
 18.0 20.8 18.0 21.4 18.0 22.4 18.0 22.8 18.0 22.8 18.0 19.4 18.0 23.6 18.0 17.9 18.0 23.9 18.0 23.9 18.0 20.8 18.0 22.4 18.0 19.6 18.0 17.1 18.0 17.1 18.0 21.6 18.0 20.8 18.0 22.5 18.0 20.8 18.0 20.5 18.0 25.6 18.0 23.4 18.0 20.3 18.0 20.9 18.0 20.5 18.0 23.4 18.0 22.0
 20.0 27.4 20.0 29.6 20.0 30.4 20.0 31.0 20.0 26.3 20.0 23.0 20.0 27.6 20.0 22.7 20.0 31.2 20.0 28.7 20.0 25.1 20.0 24.3 20.0 22.5 20.0 20.7 20.0 21.1 20.0 25.3 20.0 26.3 20.0 25.2 20.0 22.7 20.0 23.8 20.0 33.4 20.0 27.2 20.0 21.9 20.0 26.7 20.0 24.2 20.0 24.5 20.0 27.0
 22.0 29.7 22.0 36.2 22.0 30.5 22.0 30.8 22.0 26.8 22.0 25.7 22.0 30.9 22.0 26.7 22.0 32.8 22.0 32.2 22.0 28.4 22.0 25.3 22.0 26.2 22.0 24.5 22.0 24.3 22.0 26.5 22.0 31.7 22.0 27.7 22.0 26.0 22.0 24.6 22.0 34.8 22.0 24.8 22.0 24.7 22.0 27.2 22.0 26.8 22.0 24.4 22.0 27.5

