jplg 144.0 jplg 145.0 jplg 146.0 jplg 147.0 jplg 148.0 jplg 149.0 jplg 150.0 jplg 151.0 jplg 152.0 jplg 153.0 jplg 154.0 jplg 155.0 jplg 156.0 jplg 157.0 jplg 158.0 jplg 159.0 jplg 160.0 jplg 161.0 jplg 162.0 jplg 163.0 jplg 164.0 jplg 165.0 jplg 166.0 jplg 167.0 jplg 168.0 jplg 169.0 jplg 170.0
 0.0 48.7 0.0 49.1 0.0 45.8 0.0 46.4 0.0 44.3 0.0 39.3 0.0 41.9 0.0 42.2 0.0 51.6 0.0 41.5 0.0 41.0 0.0 47.9 0.0 55.8 0.0 51.8 0.0 48.6 0.0 49.5 0.0 41.8 0.0 54.3 0.0 55.8 0.0 48.9 0.0 56.2 0.0 52.8 0.0 46.6 0.0 45.0 0.0 33.3 0.0 27.9 0.0 42.5
 2.0 41.3 2.0 40.8 2.0 34.9 2.0 37.9 2.0 34.3 2.0 33.3 2.0 36.3 2.0 37.4 2.0 34.4 2.0 34.6 2.0 34.8 2.0 40.8 2.0 44.6 2.0 42.5 2.0 39.6 2.0 41.0 2.0 36.6 2.0 44.1 2.0 47.0 2.0 41.0 2.0 47.6 2.0 40.9 2.0 42.1 2.0 41.0 2.0 28.8 2.0 28.3 2.0 37.8
 4.0 25.2 4.0 20.9 4.0 22.6 4.0 24.1 4.0 26.6 4.0 21.9 4.0 21.6 4.0 22.7 4.0 24.9 4.0 21.3 4.0 24.4 4.0 22.6 4.0 27.5 4.0 30.7 4.0 29.2 4.0 34.7 4.0 28.9 4.0 33.5 4.0 35.5 4.0 32.8 4.0 38.8 4.0 34.2 4.0 30.9 4.0 35.6 4.0 26.6 4.0 23.4 4.0 28.4
 6.0 22.8 6.0 17.1 6.0 20.4 6.0 18.5 6.0 24.2 6.0 16.7 6.0 18.2 6.0 18.9 6.0 21.3 6.0 18.4 6.0 20.2 6.0 16.9 6.0 21.3 6.0 23.1 6.0 23.3 6.0 29.8 6.0 22.7 6.0 24.7 6.0 26.5 6.0 26.9 6.0 35.0 6.0 31.7 6.0 23.8 6.0 29.3 6.0 22.7 6.0 20.5 6.0 25.3
 8.0 22.5 8.0 15.6 8.0 17.9 8.0 17.3 8.0 22.0 8.0 15.5 8.0 17.4 8.0 17.2 8.0 18.0 8.0 16.5 8.0 18.7 8.0 15.5 8.0 19.4 8.0 22.1 8.0 21.3 8.0 24.6 8.0 20.6 8.0 19.9 8.0 24.3 8.0 23.1 8.0 28.8 8.0 25.6 8.0 22.2 8.0 24.1 8.0 20.9 8.0 15.2 8.0 20.6
 10.0 18.4 10.0 13.6 10.0 16.1 10.0 15.9 10.0 17.8 10.0 14.6 10.0 15.5 10.0 15.6 10.0 16.6 10.0 15.5 10.0 16.7 10.0 14.9 10.0 18.6 10.0 18.6 10.0 22.4 10.0 20.8 10.0 19.1 10.0 18.8 10.0 19.2 10.0 19.9 10.0 26.3 10.0 19.6 10.0 14.0 10.0 21.4 10.0 16.3 10.0 12.2 10.0 16.3
 12.0 14.9 12.0 13.3 12.0 11.9 12.0 15.9 12.0 14.6 12.0 14.2 12.0 13.7 12.0 13.1 12.0 14.9 12.0 14.2 12.0 15.3 12.0 13.6 12.0 15.7 12.0 16.9 12.0 18.7 12.0 18.0 12.0 18.7 12.0 20.5 12.0 19.4 12.0 17.7 12.0 26.2 12.0 21.8 12.0 13.1 12.0 23.1 12.0 19.9 12.0 12.6 12.0 14.9
 14.0 25.2 14.0 22.1 14.0 22.5 14.0 31.2 14.0 28.7 14.0 28.4 14.0 29.0 14.0 27.0 14.0 27.5 14.0 24.1 14.0 30.7 14.0 23.5 14.0 22.4 14.0 32.1 14.0 31.3 14.0 22.5 14.0 34.0 14.0 32.5 14.0 34.9 14.0 35.3 14.0 39.8 14.0 34.9 14.0 27.6 14.0 33.0 14.0 34.8 14.0 27.2 14.0 31.7
 16.0 33.2 16.0 34.0 16.0 31.0 16.0 36.3 16.0 35.0 16.0 36.6 16.0 33.1 16.0 38.1 16.0 32.6 16.0 34.5 16.0 31.9 16.0 34.5 16.0 34.5 16.0 46.6 16.0 42.9 16.0 31.5 16.0 43.8 16.0 46.2 16.0 43.8 16.0 44.1 16.0 51.4 16.0 47.0 16.0 41.0 16.0 42.6 16.0 38.8 16.0 36.3 16.0 39.4
 18.0 42.2 18.0 42.8 18.0 37.6 18.0 42.5 18.0 44.5 18.0 43.9 18.0 37.7 18.0 46.9 18.0 42.9 18.0 43.7 18.0 40.2 18.0 47.4 18.0 47.6 18.0 55.8 18.0 55.0 18.0 39.5 18.0 53.2 18.0 60.8 18.0 52.1 18.0 54.2 18.0 58.6 18.0 62.6 18.0 50.1 18.0 51.0 18.0 40.4 18.0 45.3 18.0 51.3
