jplg 195.0 jplg 196.0 jplg 197.0 jplg 198.0 jplg 199.0 jplg 200.0 jplg 201.0 jplg 202.0 jplg 203.0 jplg 204.0 jplg 205.0 jplg 206.0 jplg 207.0 jplg 208.0 jplg 209.0 jplg 210.0 jplg 211.0 jplg 212.0 jplg 213.0 jplg 214.0 jplg 215.0 jplg 216.0 jplg 217.0 jplg 218.0 jplg 219.0 jplg 220.0 jplg 221.0
 0.0 41.0 0.0 50.0 0.0 47.8 0.0 86.3 0.0 23.8 0.0 53.2 0.0 46.7 0.0 57.3 0.0 39.9 0.0 50.4 0.0 43.2 0.0 53.7 0.0 43.3 0.0 46.3 0.0 46.5 0.0 51.9 0.0 31.2 0.0 44.7 0.0 49.7 0.0 52.2 0.0 41.7 0.0 43.6 0.0 44.4 0.0 43.9 0.0 38.6 0.0 40.0 0.0 50.7
 2.0 33.4 2.0 34.2 2.0 36.8 2.0 46.5 2.0 23.3 2.0 42.4 2.0 34.3 2.0 43.5 2.0 30.2 2.0 43.0 2.0 36.7 2.0 38.6 2.0 32.5 2.0 37.8 2.0 35.8 2.0 34.2 2.0 35.1 2.0 36.4 2.0 34.2 2.0 40.3 2.0 32.6 2.0 32.0 2.0 34.9 2.0 36.3 2.0 36.7 2.0 29.4 2.0 38.4
 4.0 27.5 4.0 33.3 4.0 34.9 4.0 34.9 4.0 18.9 4.0 34.9 4.0 27.9 4.0 34.5 4.0 25.8 4.0 35.9 4.0 34.0 4.0 32.9 4.0 26.4 4.0 26.9 4.0 29.0 4.0 26.6 4.0 27.2 4.0 31.7 4.0 28.1 4.0 30.2 4.0 23.8 4.0 25.9 4.0 27.7 4.0 27.6 4.0 32.1 4.0 22.2 4.0 27.6
 6.0 24.5 6.0 33.9 6.0 32.2 6.0 25.6 6.0 16.7 6.0 36.9 6.0 25.9 6.0 36.8 6.0 24.6 6.0 37.1 6.0 29.5 6.0 29.3 6.0 26.3 6.0 22.5 6.0 24.5 6.0 27.2 6.0 26.4 6.0 25.9 6.0 25.3 6.0 28.9 6.0 21.7 6.0 24.4 6.0 27.0 6.0 24.0 6.0 27.4 6.0 22.6 6.0 25.1
 8.0 20.2 8.0 27.9 8.0 23.8 8.0 19.6 8.0 15.8 8.0 30.1 8.0 24.6 8.0 34.6 8.0 21.2 8.0 32.6 8.0 26.7 8.0 29.7 8.0 20.9 8.0 21.4 8.0 23.0 8.0 23.1 8.0 19.2 8.0 19.1 8.0 21.6 8.0 23.0 8.0 18.5 8.0 21.5 8.0 21.1 8.0 19.1 8.0 20.8 8.0 19.7 8.0 19.5
 10.0 19.3 10.0 23.4 10.0 21.0 10.0 19.3 10.0 13.8 10.0 23.7 10.0 22.2 10.0 29.0 10.0 18.7 10.0 27.2 10.0 23.5 10.0 25.7 10.0 19.5 10.0 21.4 10.0 21.0 10.0 24.6 10.0 15.4 10.0 16.0 10.0 18.5 10.0 21.0 10.0 13.7 10.0 18.7 10.0 18.5 10.0 18.6 10.0 15.3 10.0 19.2 10.0 17.8
 12.0 28.8 12.0 32.3 12.0 27.5 12.0 27.2 12.0 26.3 12.0 34.7 12.0 37.7 12.0 29.9 12.0 31.6 12.0 41.6 12.0 35.3 12.0 32.1 12.0 32.7 12.0 32.4 12.0 31.0 12.0 31.1 12.0 21.1 12.0 24.5 12.0 29.2 12.0 35.9 12.0 26.8 12.0 29.7 12.0 28.1 12.0 29.8 12.0 24.8 12.0 26.4 12.0 26.5
 14.0 51.2 14.0 52.5 14.0 43.4 14.0 26.7 14.0 40.5 14.0 45.7 14.0 59.2 14.0 36.9 14.0 54.3 14.0 53.5 14.0 52.5 14.0 42.4 14.0 49.4 14.0 43.9 14.0 44.2 14.0 46.8 14.0 32.1 14.0 44.1 14.0 46.0 14.0 54.0 14.0 47.5 14.0 42.5 14.0 46.8 14.0 38.1 14.0 41.5 14.0 44.5 14.0 47.0
 16.0 61.9 16.0 65.8 16.0 59.2 16.0 24.2 16.0 51.2 16.0 53.9 16.0 73.0 16.0 40.7 16.0 60.7 16.0 62.9 16.0 67.5 16.0 51.5 16.0 59.9 16.0 49.8 16.0 55.2 16.0 50.9 16.0 41.8 16.0 55.0 16.0 57.3 16.0 68.4 16.0 58.0 16.0 53.5 16.0 61.1 16.0 51.8 16.0 48.5 16.0 55.8 16.0 63.9
 18.0 66.2 18.0 77.4 18.0 79.1 18.0 24.3 18.0 59.6 18.0 60.2 18.0 80.6 18.0 42.2 18.0 63.8 18.0 67.7 18.0 76.5 18.0 56.9 18.0 66.3 18.0 54.9 18.0 61.0 18.0 44.9 18.0 52.2 18.0 63.1 18.0 75.4 18.0 76.8 18.0 64.8 18.0 67.0 18.0 72.8 18.0 63.1 18.0 58.4 18.0 69.2 18.0 73.7
