jplg 134.0 jplg 135.0 jplg 136.0 jplg 137.0 jplg 138.0
 0.0 28.2 0.0 38.7 0.0 22.7 0.0 39.9 0.0 41.4
 2.0 22.3 2.0 19.6 2.0 17.5 2.0 29.2 2.0 32.2
 4.0 12.3 4.0 13.7 4.0 15.0 4.0 15.7 4.0 19.5
 6.0 9.5 6.0 12.1 6.0 12.8 6.0 13.8 6.0 14.8
 8.0 10.4 8.0 9.3 8.0 10.6 8.0 13.0 8.0 15.2
 10.0 9.8 10.0 8.6 10.0 8.1 10.0 10.4 10.0 14.1
 12.0 10.7 12.0 8.0 12.0 7.8 12.0 8.7 12.0 14.3
 14.0 18.1 14.0 13.4 14.0 18.7 14.0 14.7 14.0 13.9
 16.0 24.3 16.0 19.5 16.0 29.7 16.0 25.3 16.0 16.6
 18.0 32.4 18.0 21.8 18.0 42.3 18.0 36.8 18.0 20.6
 20.0 37.1 20.0 19.0 20.0 37.9 20.0 42.4 20.0 25.9
 22.0 40.5 22.0 22.0 22.0 33.9 22.0 46.1 22.0 29.8

