jplg 96.0 jplg 97.0 jplg 98.0 jplg 99.0 jplg 100.0
 0.0 84.9 0.0 76.6 0.0 120.7 0.0 75.2 0.0 77.0
 2.0 64.2 2.0 59.5 2.0 113.2 2.0 53.2 2.0 58.7
 4.0 55.6 4.0 46.8 4.0 82.9 4.0 35.3 4.0 50.4
 6.0 44.7 6.0 39.2 6.0 40.3 6.0 29.4 6.0 38.0
 8.0 34.5 8.0 36.1 8.0 47.0 8.0 29.2 8.0 28.2
 10.0 24.4 10.0 29.5 10.0 29.2 10.0 28.5 10.0 24.6
 12.0 38.5 12.0 40.4 12.0 37.9 12.0 36.6 12.0 35.6
 14.0 70.7 14.0 70.9 14.0 89.3 14.0 66.0 14.0 65.8
 16.0 93.8 16.0 95.6 16.0 103.5 16.0 95.4 16.0 85.9
 18.0 114.5 18.0 133.3 18.0 108.3 18.0 116.6 18.0 101.4
 20.0 115.8 20.0 165.3 20.0 104.0 20.0 116.1 20.0 107.8
 22.0 101.7 22.0 159.6 22.0 90.2 22.0 102.3 22.0 100.4

