jplg 47.0 jplg 48.0 jplg 49.0 jplg 50.0 jplg 51.0 jplg 52.0 jplg 53.0 jplg 54.0 jplg 55.0 jplg 56.0 jplg 57.0 jplg 58.0 jplg 59.0 jplg 60.0 jplg 61.0 jplg 62.0 jplg 63.0 jplg 64.0 jplg 65.0 jplg 66.0 jplg 67.0 jplg 68.0 jplg 69.0 jplg 70.0 jplg 71.0 jplg 72.0 jplg 73.0
 0.0 44.9 0.0 40.8 0.0 42.3 0.0 38.0 0.0 40.1 0.0 45.3 0.0 38.8 0.0 35.3 0.0 37.8 0.0 40.9 0.0 40.0 0.0 41.0 0.0 44.6 0.0 51.1 0.0 45.2 0.0 44.0 0.0 47.3 0.0 47.3 0.0 51.1 0.0 51.2 0.0 49.3 0.0 42.5 0.0 48.5 0.0 51.8 0.0 52.1 0.0 45.1 0.0 47.3
 2.0 26.1 2.0 21.4 2.0 32.8 2.0 25.1 2.0 17.6 2.0 24.5 2.0 23.1 2.0 21.2 2.0 27.1 2.0 24.0 2.0 21.9 2.0 22.2 2.0 28.8 2.0 31.4 2.0 32.0 2.0 30.6 2.0 30.0 2.0 30.2 2.0 31.8 2.0 36.3 2.0 33.0 2.0 27.9 2.0 27.2 2.0 27.1 2.0 27.8 2.0 22.5 2.0 30.8
 4.0 15.2 4.0 16.2 4.0 22.0 4.0 17.1 4.0 11.6 4.0 17.1 4.0 16.0 4.0 15.1 4.0 21.2 4.0 14.3 4.0 14.5 4.0 14.6 4.0 13.8 4.0 23.4 4.0 18.3 4.0 21.5 4.0 17.8 4.0 19.9 4.0 18.7 4.0 20.5 4.0 21.3 4.0 19.6 4.0 18.3 4.0 18.0 4.0 17.0 4.0 14.2 4.0 18.3
 6.0 12.8 6.0 12.9 6.0 12.1 6.0 13.4 6.0 11.6 6.0 13.1 6.0 12.8 6.0 13.6 6.0 21.9 6.0 13.8 6.0 13.9 6.0 12.8 6.0 13.5 6.0 16.8 6.0 15.8 6.0 18.1 6.0 15.7 6.0 16.5 6.0 16.4 6.0 18.7 6.0 17.0 6.0 19.1 6.0 17.1 6.0 15.4 6.0 17.5 6.0 16.1 6.0 20.1
 8.0 14.9 8.0 15.3 8.0 13.2 8.0 11.9 8.0 13.4 8.0 14.9 8.0 13.8 8.0 14.1 8.0 21.7 8.0 13.7 8.0 13.4 8.0 13.3 8.0 15.0 8.0 15.9 8.0 14.0 8.0 15.9 8.0 16.8 8.0 14.8 8.0 17.1 8.0 18.9 8.0 15.7 8.0 17.5 8.0 16.1 8.0 14.4 8.0 17.3 8.0 15.3 8.0 20.9
 10.0 12.6 10.0 13.0 10.0 12.0 10.0 9.2 10.0 11.1 10.0 11.5 10.0 11.6 10.0 13.1 10.0 12.8 10.0 12.4 10.0 12.5 10.0 12.5 10.0 13.6 10.0 14.9 10.0 13.3 10.0 14.1 10.0 14.2 10.0 13.5 10.0 16.9 10.0 15.2 10.0 13.7 10.0 15.6 10.0 14.8 10.0 14.6 10.0 17.0 10.0 16.2 10.0 21.5
 12.0 13.2 12.0 12.8 12.0 13.1 12.0 10.6 12.0 11.3 12.0 12.1 12.0 12.2 12.0 14.2 12.0 12.3 12.0 12.9 12.0 13.0 12.0 12.2 12.0 13.1 12.0 13.0 12.0 13.0 12.0 13.8 12.0 12.8 12.0 13.7 12.0 15.7 12.0 13.9 12.0 13.2 12.0 14.6 12.0 13.2 12.0 13.5 12.0 15.4 12.0 14.3 12.0 16.5
 14.0 23.7 14.0 23.8 14.0 26.0 14.0 22.5 14.0 22.2 14.0 22.1 14.0 22.5 14.0 22.8 14.0 27.6 14.0 23.8 14.0 24.9 14.0 22.4 14.0 25.8 14.0 26.5 14.0 23.9 14.0 26.3 14.0 27.6 14.0 26.2 14.0 29.2 14.0 31.0 14.0 29.7 14.0 27.4 14.0 26.9 14.0 25.6 14.0 30.1 14.0 28.1 14.0 29.0
 16.0 48.4 16.0 36.5 16.0 46.2 16.0 42.0 16.0 42.3 16.0 36.0 16.0 37.3 16.0 39.5 16.0 44.0 16.0 38.7 16.0 41.5 16.0 36.2 16.0 39.6 16.0 51.4 16.0 49.2 16.0 42.4 16.0 42.3 16.0 40.1 16.0 53.2 16.0 46.3 16.0 47.9 16.0 39.2 16.0 44.7 16.0 40.8 16.0 44.6 16.0 44.6 16.0 43.1
 18.0 61.2 18.0 56.6 18.0 62.1 18.0 58.0 18.0 59.1 18.0 55.4 18.0 45.1 18.0 56.7 18.0 50.6 18.0 48.5 18.0 54.8 18.0 44.7 18.0 49.1 18.0 56.5 18.0 65.7 18.0 53.5 18.0 57.0 18.0 46.4 18.0 62.8 18.0 56.1 18.0 55.4 18.0 49.7 18.0 56.6 18.0 52.9 18.0 52.8 18.0 47.8 18.0 48.2
 20.0 58.7 20.0 66.7 20.0 59.8 20.0 58.5 20.0 59.9 20.0 54.2 20.0 46.8 20.0 62.7 20.0 53.3 20.0 51.4 20.0 53.2 20.0 43.8 20.0 54.0 20.0 50.9 20.0 61.3 20.0 55.3 20.0 57.3 20.0 47.4 20.0 55.4 20.0 54.8 20.0 58.5 20.0 56.7 20.0 60.0 20.0 59.0 20.0 57.5 20.0 49.8 20.0 49.5
 22.0 53.7 22.0 61.3 22.0 49.9 22.0 53.7 22.0 60.0 22.0 46.8 22.0 43.9 22.0 57.9 22.0 51.9 22.0 51.9 22.0 49.8 22.0 46.6 22.0 59.8 22.0 50.9 22.0 55.7 22.0 58.2 22.0 59.8 22.0 52.6 22.0 54.8 22.0 55.0 22.0 52.2 22.0 58.7 22.0 62.7 22.0 62.6 22.0 55.0 22.0 52.7 22.0 54.5

