jplg 323.0 jplg 324.0 jplg 325.0 jplg 326.0 jplg 327.0 jplg 328.0
 0.0 19.7 0.0 20.4 0.0 36.2 0.0 21.5 0.0 37.5 0.0 32.4
 2.0 9.2 2.0 8.3 2.0 24.1 2.0 9.9 2.0 17.5 2.0 11.5
 4.0 10.0 4.0 7.1 4.0 22.1 4.0 11.5 4.0 12.2 4.0 9.5
 6.0 7.4 6.0 5.2 6.0 18.9 6.0 7.6 6.0 10.5 6.0 11.2
 8.0 8.4 8.0 7.2 8.0 15.8 8.0 7.4 8.0 10.7 8.0 9.7
 10.0 10.2 10.0 9.4 10.0 14.5 10.0 8.4 10.0 9.6 10.0 9.9
 12.0 10.4 12.0 8.1 12.0 12.0 12.0 9.1 12.0 11.5 12.0 10.0
 14.0 27.7 14.0 32.5 14.0 29.6 14.0 28.9 14.0 32.8 14.0 28.2
 16.0 45.9 16.0 58.1 16.0 43.4 16.0 48.3 16.0 53.1 16.0 47.2
 18.0 47.5 18.0 76.1 18.0 46.5 18.0 63.6 18.0 62.1 18.0 61.2
 20.0 50.1 20.0 107.8 20.0 39.2 20.0 78.6 20.0 59.0 20.0 60.4
 22.0 40.4 22.0 70.5 22.0 33.1 22.0 60.0 22.0 46.2 22.0 47.7

