jplg 280.0 jplg 281.0 jplg 282.0 jplg 283.0 jplg 284.0 jplg 285.0 jplg 286.0 jplg 287.0 jplg 288.0 jplg 289.0 jplg 290.0 jplg 291.0 jplg 292.0 jplg 293.0 jplg 294.0 jplg 295.0 jplg 296.0 jplg 297.0 jplg 298.0 jplg 299.0 jplg 300.0 jplg 301.0 jplg 302.0 jplg 303.0 jplg 304.0 jplg 305.0 jplg 306.0
 0.0 53.4 0.0 51.7 0.0 67.1 0.0 59.9 0.0 52.1 0.0 48.4 0.0 49.1 0.0 48.7 0.0 50.9 0.0 53.0 0.0 52.6 0.0 60.3 0.0 53.9 0.0 60.2 0.0 62.6 0.0 68.1 0.0 69.5 0.0 65.3 0.0 50.7 0.0 61.8 0.0 56.0 0.0 51.0 0.0 57.6 0.0 60.8 0.0 55.2 0.0 60.9 0.0 61.1
 2.0 36.9 2.0 33.2 2.0 39.9 2.0 38.2 2.0 36.2 2.0 41.0 2.0 31.9 2.0 30.9 2.0 29.1 2.0 36.0 2.0 32.8 2.0 39.2 2.0 35.4 2.0 41.9 2.0 40.7 2.0 54.2 2.0 49.3 2.0 48.6 2.0 34.0 2.0 40.1 2.0 37.9 2.0 34.3 2.0 42.1 2.0 37.0 2.0 33.1 2.0 40.1 2.0 41.8
 4.0 30.6 4.0 27.0 4.0 26.9 4.0 30.1 4.0 28.5 4.0 42.3 4.0 26.8 4.0 23.8 4.0 26.0 4.0 27.6 4.0 26.3 4.0 27.1 4.0 25.7 4.0 33.0 4.0 31.4 4.0 37.5 4.0 32.5 4.0 32.6 4.0 23.5 4.0 28.5 4.0 28.0 4.0 24.9 4.0 31.5 4.0 27.5 4.0 25.0 4.0 31.2 4.0 26.0
 6.0 23.6 6.0 22.9 6.0 20.9 6.0 28.3 6.0 20.8 6.0 35.0 6.0 23.0 6.0 18.0 6.0 19.1 6.0 20.5 6.0 19.5 6.0 21.0 6.0 20.4 6.0 26.6 6.0 27.9 6.0 24.9 6.0 27.3 6.0 26.6 6.0 19.7 6.0 22.2 6.0 24.6 6.0 22.4 6.0 26.6 6.0 22.1 6.0 19.2 6.0 26.3 6.0 18.0
 8.0 18.8 8.0 21.6 8.0 23.0 8.0 24.8 8.0 20.2 8.0 24.6 8.0 19.1 8.0 17.0 8.0 20.3 8.0 19.3 8.0 20.4 8.0 19.3 8.0 19.1 8.0 24.0 8.0 24.6 8.0 25.6 8.0 25.7 8.0 19.1 8.0 16.4 8.0 17.9 8.0 23.8 8.0 23.6 8.0 26.6 8.0 22.3 8.0 18.2 8.0 24.1 8.0 18.0
 10.0 15.2 10.0 17.7 10.0 21.2 10.0 23.0 10.0 17.2 10.0 22.0 10.0 17.7 10.0 16.4 10.0 17.6 10.0 17.9 10.0 18.5 10.0 17.2 10.0 17.0 10.0 17.7 10.0 20.4 10.0 16.7 10.0 16.8 10.0 17.3 10.0 14.9 10.0 16.6 10.0 20.2 10.0 25.1 10.0 23.6 10.0 21.6 10.0 17.2 10.0 24.9 10.0 16.0
 12.0 26.1 12.0 30.0 12.0 29.7 12.0 34.3 12.0 26.0 12.0 37.2 12.0 32.4 12.0 29.5 12.0 29.5 12.0 31.0 12.0 30.8 12.0 28.7 12.0 30.1 12.0 30.8 12.0 33.2 12.0 28.4 12.0 29.6 12.0 30.1 12.0 28.2 12.0 30.5 12.0 34.8 12.0 42.8 12.0 34.8 12.0 35.2 12.0 28.3 12.0 38.7 12.0 28.1
 14.0 49.5 14.0 55.4 14.0 53.9 14.0 57.2 14.0 54.4 14.0 68.1 14.0 58.6 14.0 53.8 14.0 56.8 14.0 53.3 14.0 60.1 14.0 53.7 14.0 58.7 14.0 64.3 14.0 66.0 14.0 77.6 14.0 70.8 14.0 59.9 14.0 62.3 14.0 64.1 14.0 69.6 14.0 84.9 14.0 70.8 14.0 71.4 14.0 62.5 14.0 65.8 14.0 56.9
 16.0 71.5 16.0 79.7 16.0 82.4 16.0 78.0 16.0 70.1 16.0 79.8 16.0 72.0 16.0 73.6 16.0 72.1 16.0 75.4 16.0 75.7 16.0 66.8 16.0 89.1 16.0 80.1 16.0 85.4 16.0 99.5 16.0 83.3 16.0 73.6 16.0 82.7 16.0 82.1 16.0 86.3 16.0 98.0 16.0 82.1 16.0 90.7 16.0 86.2 16.0 92.9 16.0 76.6
 18.0 78.0 18.0 93.5 18.0 89.9 18.0 89.5 18.0 83.6 18.0 84.2 18.0 82.2 18.0 81.2 18.0 80.1 18.0 84.9 18.0 84.6 18.0 76.2 18.0 96.6 18.0 93.8 18.0 112.5 18.0 120.9 18.0 89.0 18.0 82.0 18.0 88.7 18.0 86.5 18.0 91.2 18.0 96.1 18.0 87.0 18.0 97.3 18.0 91.6 18.0 100.2 18.0 85.8
