jplg 62.0 jplg 63.0 jplg 64.0 jplg 65.0 jplg 66.0 jplg 67.0 jplg 68.0 jplg 69.0 jplg 70.0 jplg 71.0 jplg 72.0 jplg 73.0 jplg 74.0 jplg 75.0 jplg 76.0 jplg 77.0 jplg 78.0 jplg 79.0 jplg 80.0 jplg 81.0 jplg 82.0 jplg 83.0 jplg 84.0 jplg 85.0 jplg 86.0 jplg 87.0 jplg 88.0
 0.0 49.3 0.0 50.4 0.0 62.1 0.0 43.1 0.0 57.0 0.0 47.0 0.0 49.6 0.0 51.8 0.0 53.8 0.0 49.9 0.0 60.4 0.0 58.2 0.0 54.5 0.0 49.1 0.0 53.7 0.0 50.1 0.0 52.0 0.0 63.8 0.0 43.9 0.0 36.6 0.0 54.4 0.0 60.5 0.0 62.3 0.0 63.5 0.0 68.5 0.0 73.6 0.0 70.6
 2.0 25.8 2.0 25.1 2.0 34.4 2.0 24.0 2.0 28.6 2.0 28.3 2.0 26.2 2.0 29.4 2.0 29.5 2.0 30.2 2.0 32.4 2.0 37.2 2.0 37.1 2.0 39.6 2.0 31.1 2.0 30.1 2.0 30.1 2.0 41.1 2.0 27.8 2.0 22.9 2.0 38.9 2.0 42.6 2.0 39.7 2.0 45.2 2.0 52.9 2.0 38.0 2.0 49.7
 4.0 17.6 4.0 21.2 4.0 25.5 4.0 19.1 4.0 19.3 4.0 21.5 4.0 19.6 4.0 24.5 4.0 24.3 4.0 23.0 4.0 28.3 4.0 28.6 4.0 28.5 4.0 38.4 4.0 24.0 4.0 26.9 4.0 24.0 4.0 31.8 4.0 18.0 4.0 18.7 4.0 29.9 4.0 34.5 4.0 31.4 4.0 37.9 4.0 45.4 4.0 28.7 4.0 35.3
 6.0 16.9 6.0 20.9 6.0 24.5 6.0 15.7 6.0 17.4 6.0 16.7 6.0 17.6 6.0 21.3 6.0 21.5 6.0 20.5 6.0 21.9 6.0 23.7 6.0 24.0 6.0 27.4 6.0 20.5 6.0 20.2 6.0 22.8 6.0 29.5 6.0 16.7 6.0 15.5 6.0 28.2 6.0 26.8 6.0 28.2 6.0 32.2 6.0 39.2 6.0 28.9 6.0 29.7
 8.0 17.0 8.0 18.0 8.0 15.2 8.0 12.9 8.0 15.6 8.0 16.3 8.0 16.6 8.0 17.3 8.0 15.8 8.0 15.1 8.0 17.3 8.0 20.0 8.0 18.2 8.0 16.6 8.0 15.9 8.0 15.2 8.0 20.9 8.0 27.9 8.0 13.9 8.0 12.7 8.0 22.8 8.0 23.0 8.0 24.5 8.0 28.0 8.0 30.5 8.0 23.1 8.0 30.5
 10.0 16.2 10.0 16.7 10.0 14.7 10.0 13.1 10.0 15.1 10.0 16.7 10.0 15.7 10.0 15.0 10.0 14.8 10.0 14.2 10.0 16.8 10.0 18.2 10.0 15.5 10.0 12.0 10.0 13.1 10.0 15.5 10.0 17.4 10.0 22.9 10.0 15.0 10.0 13.3 10.0 20.7 10.0 17.9 10.0 22.1 10.0 22.4 10.0 28.5 10.0 19.7 10.0 28.0
 12.0 19.3 12.0 20.0 12.0 22.2 12.0 17.8 12.0 19.5 12.0 20.7 12.0 19.9 12.0 19.5 12.0 20.5 12.0 21.1 12.0 21.7 12.0 23.2 12.0 19.9 12.0 17.5 12.0 18.1 12.0 20.8 12.0 22.8 12.0 29.5 12.0 20.6 12.0 20.7 12.0 28.2 12.0 20.0 12.0 29.2 12.0 29.6 12.0 40.4 12.0 32.1 12.0 33.6
 14.0 46.5 14.0 46.4 14.0 40.7 14.0 43.9 14.0 44.2 14.0 42.7 14.0 45.1 14.0 41.3 14.0 43.5 14.0 47.1 14.0 50.2 14.0 45.0 14.0 45.0 14.0 42.7 14.0 42.4 14.0 49.3 14.0 48.5 14.0 51.4 14.0 41.6 14.0 41.5 14.0 57.1 14.0 53.2 14.0 56.5 14.0 58.3 14.0 64.1 14.0 60.9 14.0 69.8
 16.0 61.9 16.0 63.6 16.0 61.0 16.0 59.5 16.0 58.5 16.0 62.4 16.0 61.5 16.0 59.4 16.0 65.1 16.0 64.9 16.0 72.4 16.0 66.1 16.0 67.8 16.0 60.5 16.0 60.6 16.0 64.9 16.0 71.3 16.0 57.8 16.0 54.2 16.0 59.8 16.0 83.1 16.0 79.0 16.0 80.7 16.0 78.5 16.0 86.3 16.0 87.1 16.0 90.4
 18.0 72.7 18.0 74.2 18.0 73.6 18.0 74.9 18.0 70.3 18.0 76.6 18.0 70.6 18.0 77.0 18.0 82.2 18.0 81.0 18.0 87.6 18.0 81.7 18.0 87.1 18.0 76.7 18.0 74.8 18.0 77.8 18.0 98.0 18.0 70.3 18.0 64.9 18.0 76.3 18.0 99.5 18.0 96.8 18.0 96.1 18.0 94.2 18.0 104.8 18.0 98.6 18.0 98.6
 20.0 90.0 20.0 84.3 20.0 74.8 20.0 84.8 20.0 82.3 20.0 83.2 20.0 76.6 20.0 81.8 20.0 85.9 20.0 94.2 20.0 94.1 20.0 82.1 20.0 86.0 20.0 83.2 20.0 81.3 20.0 86.5 20.0 117.3 20.0 66.6 20.0 63.0 20.0 84.1 20.0 92.1 20.0 98.7 20.0 98.8 20.0 99.8 20.0 111.6 20.0 99.2 20.0 104.2
 22.0 83.6 22.0 81.8 22.0 62.4 22.0 76.7 22.0 70.6 22.0 72.5 22.0 68.9 22.0 72.4 22.0 69.1 22.0 87.3 22.0 79.6 22.0 72.5 22.0 70.4 22.0 75.2 22.0 73.6 22.0 76.5 22.0 102.2 22.0 58.1 22.0 54.5 22.0 76.0 22.0 79.0 22.0 80.8 22.0 85.4 22.0 88.2 22.0 103.0 22.0 90.3 22.0 91.4

