jplg 171.0 jplg 172.0 jplg 173.0 jplg 174.0 jplg 175.0 jplg 176.0
 0.0 45.6 0.0 42.1 0.0 44.9 0.0 47.8 0.0 32.7 0.0 33.8
 2.0 33.4 2.0 36.2 2.0 38.7 2.0 29.0 2.0 25.7 2.0 30.7
 4.0 23.9 4.0 27.2 4.0 24.2 4.0 28.1 4.0 21.7 4.0 24.0
 6.0 18.4 6.0 16.5 6.0 17.9 6.0 27.2 6.0 22.3 6.0 17.7
 8.0 17.8 8.0 13.6 8.0 15.8 8.0 14.3 8.0 17.4 8.0 13.5
 10.0 15.1 10.0 11.8 10.0 15.3 10.0 5.9 10.0 11.9 10.0 11.0
 12.0 13.0 12.0 13.2 12.0 18.4 12.0 9.1 12.0 12.7 12.0 14.3
 14.0 23.7 14.0 25.2 14.0 26.6 14.0 22.6 14.0 21.0 14.0 22.1
 16.0 34.5 16.0 38.5 16.0 35.5 16.0 21.4 16.0 25.2 16.0 28.9
 18.0 45.4 18.0 47.4 18.0 42.6 18.0 24.2 18.0 35.9 18.0 28.5
 20.0 50.4 20.0 52.4 20.0 62.5 20.0 30.2 20.0 41.9 20.0 31.8
 22.0 44.7 22.0 49.9 22.0 60.5 22.0 32.3 22.0 37.0 22.0 36.1

