jplg 222.0 jplg 223.0 jplg 224.0 jplg 225.0 jplg 226.0 jplg 227.0 jplg 228.0 jplg 229.0 jplg 230.0 jplg 231.0 jplg 232.0 jplg 233.0 jplg 234.0 jplg 235.0 jplg 236.0 jplg 237.0 jplg 238.0 jplg 239.0 jplg 240.0 jplg 241.0 jplg 242.0 jplg 243.0 jplg 244.0 jplg 245.0 jplg 246.0 jplg 247.0 jplg 248.0
 0.0 23.0 0.0 20.5 0.0 29.5 0.0 19.1 0.0 21.2 0.0 22.1 0.0 18.6 0.0 25.3 0.0 17.5 0.0 24.0 0.0 20.3 0.0 21.3 0.0 21.1 0.0 26.2 0.0 20.6 0.0 21.1 0.0 24.3 0.0 26.0 0.0 31.4 0.0 24.9 0.0 29.4 0.0 25.8 0.0 25.2 0.0 27.6 0.0 26.4 0.0 28.4 0.0 36.1
 2.0 16.9 2.0 13.8 2.0 15.3 2.0 17.3 2.0 15.0 2.0 14.6 2.0 16.1 2.0 13.8 2.0 12.8 2.0 10.7 2.0 16.7 2.0 13.7 2.0 15.8 2.0 20.1 2.0 16.0 2.0 11.6 2.0 14.2 2.0 11.0 2.0 12.9 2.0 15.7 2.0 13.9 2.0 12.4 2.0 13.2 2.0 18.7 2.0 16.6 2.0 18.0 2.0 20.0
 4.0 9.9 4.0 10.1 4.0 9.0 4.0 12.9 4.0 10.4 4.0 9.4 4.0 9.8 4.0 9.2 4.0 10.6 4.0 9.7 4.0 11.5 4.0 9.5 4.0 10.1 4.0 11.6 4.0 11.0 4.0 8.1 4.0 9.2 4.0 8.7 4.0 8.2 4.0 9.1 4.0 7.8 4.0 7.4 4.0 10.2 4.0 11.0 4.0 10.5 4.0 12.2 4.0 11.0
 6.0 7.9 6.0 7.7 6.0 8.0 6.0 9.8 6.0 8.2 6.0 8.4 6.0 8.4 6.0 8.7 6.0 9.2 6.0 9.8 6.0 9.7 6.0 8.9 6.0 9.0 6.0 9.2 6.0 10.2 6.0 7.3 6.0 8.3 6.0 8.4 6.0 8.1 6.0 8.3 6.0 8.0 6.0 7.5 6.0 11.0 6.0 10.6 6.0 9.6 6.0 10.0 6.0 10.8
 8.0 7.4 8.0 8.2 8.0 7.9 8.0 9.1 8.0 8.1 8.0 8.2 8.0 8.3 8.0 8.4 8.0 9.0 8.0 8.1 8.0 9.1 8.0 8.2 8.0 8.5 8.0 8.7 8.0 9.6 8.0 6.8 8.0 7.7 8.0 8.0 8.0 7.7 8.0 7.7 8.0 8.0 8.0 7.5 8.0 9.2 8.0 9.6 8.0 9.2 8.0 9.6 8.0 10.9
 10.0 7.4 10.0 7.4 10.0 7.5 10.0 8.5 10.0 7.6 10.0 7.9 10.0 8.2 10.0 7.7 10.0 7.7 10.0 7.7 10.0 8.7 10.0 7.9 10.0 7.8 10.0 8.3 10.0 8.9 10.0 6.3 10.0 7.2 10.0 7.3 10.0 7.0 10.0 7.8 10.0 7.7 10.0 7.9 10.0 8.9 10.0 8.1 10.0 8.5 10.0 9.0 10.0 10.1
 12.0 7.1 12.0 6.6 12.0 6.8 12.0 7.7 12.0 7.1 12.0 7.0 12.0 7.7 12.0 7.3 12.0 7.4 12.0 7.3 12.0 8.2 12.0 7.6 12.0 6.9 12.0 7.4 12.0 8.1 12.0 5.6 12.0 6.6 12.0 6.4 12.0 6.1 12.0 6.5 12.0 6.9 12.0 7.3 12.0 8.9 12.0 7.1 12.0 7.6 12.0 8.8 12.0 8.8
 14.0 12.7 14.0 10.4 14.0 12.0 14.0 12.2 14.0 12.6 14.0 10.6 14.0 13.1 14.0 13.9 14.0 13.8 14.0 15.0 14.0 15.6 14.0 15.6 14.0 13.8 14.0 14.4 14.0 15.1 14.0 12.4 14.0 13.1 14.0 13.2 14.0 15.3 14.0 11.9 14.0 14.5 14.0 12.2 14.0 15.3 14.0 14.7 14.0 16.6 14.0 16.2 14.0 16.2
 16.0 14.5 16.0 12.6 16.0 14.6 16.0 13.7 16.0 17.4 16.0 13.2 16.0 15.5 16.0 17.6 16.0 18.4 16.0 19.1 16.0 20.1 16.0 15.4 16.0 18.0 16.0 17.7 16.0 21.1 16.0 16.9 16.0 15.3 16.0 15.4 16.0 17.7 16.0 14.8 16.0 16.7 16.0 15.6 16.0 17.5 16.0 17.2 16.0 19.3 16.0 20.2 16.0 25.5
 18.0 18.6 18.0 17.2 18.0 18.3 18.0 15.2 18.0 23.5 18.0 16.1 18.0 19.1 18.0 25.2 18.0 24.9 18.0 25.1 18.0 21.8 18.0 17.8 18.0 19.2 18.0 25.7 18.0 24.5 18.0 23.5 18.0 20.6 18.0 21.5 18.0 23.3 18.0 20.1 18.0 21.2 18.0 25.4 18.0 24.2 18.0 24.3 18.0 31.1 18.0 27.9 18.0 35.7
