jplg 146.0 jplg 147.0 jplg 148.0 jplg 149.0 jplg 150.0
 0.0 27.1 0.0 27.8 0.0 29.4 0.0 17.8 0.0 21.4
 2.0 22.3 2.0 23.1 2.0 30.5 2.0 14.1 2.0 15.7
 4.0 13.1 4.0 11.2 4.0 30.2 4.0 8.5 4.0 9.0
 6.0 10.1 6.0 8.9 6.0 29.1 6.0 7.4 6.0 8.1
 8.0 9.9 8.0 8.5 8.0 20.3 8.0 7.5 8.0 8.2
 10.0 8.2 10.0 7.7 10.0 8.2 10.0 6.2 10.0 7.1
 12.0 8.5 12.0 7.6 12.0 6.9 12.0 7.0 12.0 7.3
 14.0 15.5 14.0 15.0 14.0 11.8 14.0 14.3 14.0 15.0
 16.0 17.2 16.0 18.2 16.0 14.6 16.0 18.3 16.0 19.6
 18.0 23.7 18.0 24.2 18.0 20.0 18.0 23.7 18.0 25.0
 20.0 27.3 20.0 30.2 20.0 20.4 20.0 24.8 20.0 29.7
 22.0 28.2 22.0 31.5 22.0 18.4 22.0 24.5 22.0 30.2

