index DOY Kp ap Ap Cp C9 BSRN NdB
"2004-09-21 00:00:00" 265 3- 12 8 0.4 2 2336 4
"2004-09-21 03:00:00" 265 3o 15 8 0.4 2 2336 4
"2004-09-21 06:00:00" 265 2+ 9 8 0.4 2 2336 4
"2004-09-21 09:00:00" 265 1+ 5 8 0.4 2 2336 4
"2004-09-21 12:00:00" 265 2- 6 8 0.4 2 2336 4
"2004-09-21 15:00:00" 265 1+ 5 8 0.4 2 2336 4
"2004-09-21 18:00:00" 265 1o 4 8 0.4 2 2336 4
"2004-09-21 21:00:00" 265 1+ 5 8 0.4 2 2336 4
