1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998
  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246  2246
 51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51
 52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52
  59   63   60   59   57   62   58   59   59   59   61   59   59   61   58   61   58   61   57   58   59   61   60   59
  34   38   38   35   32   36   35   36   35   36   38   36   35   38   36   38   34   38   35   35   36   34   36   36
   3.4    3.5    3.4    3.5    3.4    4.3    4.7    5.0    5.1    5.2    5.1    5.3    4.4    4.3    4.3    4.2    4.1    4.6    4.9    4.7    4.2    4.6    4.4    5.1
   2.7    1.8    3.2    3.2    2.4    4.1    4.6    4.8    4.8    4.9    4.9    5.1    3.6    3.5    3.5    3.6    3.6    4.1    4.4    4.0    3.9    3.8    3.9    4.9
  -5.9   31.5   27.5    2.3  -17.0  -25.9  -17.9  -31.8  -28.6   -3.0   15.0    3.2    1.8   10.8   26.9   -9.4   -9.0   -9.8   -4.5   33.7   22.0    1.1  -14.4  -12.0
 335.0  241.2  213.9  208.6  219.2  246.9  241.1  265.7  251.8  263.8  259.7  247.5  251.3  271.7  282.0  274.9  269.1  256.2  260.5  290.0  337.5  329.5  323.2  304.8
   2.4   -0.7   -2.4   -2.8   -1.7   -1.4   -2.1   -0.3   -1.3   -0.5   -0.8   -1.9   -1.1    0.1    0.7    0.3   -0.1   -1.0   -0.7    1.1    3.4    3.3    3.1    2.7
  -1.1   -1.3   -1.6   -1.6   -1.4   -3.4   -3.8   -4.1   -4.0   -4.9   -4.6   -4.7   -3.4   -3.4   -3.1   -3.6   -3.6   -3.9   -4.3   -3.1   -1.4   -1.9   -2.3   -3.9
  -0.3    0.9    1.5    0.1   -0.7   -1.8   -1.4   -2.5   -2.3   -0.3    1.3    0.3    0.1    0.7    1.6   -0.6   -0.6   -0.7   -0.3    2.2    1.5    0.1   -1.0   -1.0
  -0.8   -1.6   -2.1   -1.5   -1.1   -2.7   -3.3   -3.5   -3.5   -4.8   -4.7   -4.7   -3.4   -3.5   -3.4   -3.3   -3.2   -3.4   -3.8   -3.7   -1.9   -1.7   -1.5   -2.9
  -0.8    0.2    0.6   -0.6   -1.2   -2.8   -2.3   -3.3   -3.0   -1.1    0.6   -0.4   -0.5    0.0    0.9   -1.5   -1.7   -2.0   -2.0    0.6    0.7   -0.8   -2.0   -2.8
