1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998 1998
 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255  2255
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
  15   16   15   15   16   15   15   15   15   14   15   15   15   15   15   15   15   15   15   15   15   15   15   15
  15   16   15   15   16   15   15   15   15   14   15   15   15   15   15   15   15   15   15   15   15   15   15   15
   8.6    9.4    8.9    5.5    5.0    5.6    6.2    6.2    5.6    5.3    4.8    5.0    5.2    4.7    6.2    6.5    6.6    5.8    5.4    5.2    6.8    7.1    7.4    7.2
   8.6    9.2    8.7    2.5    1.8    4.0    5.8    5.9    5.3    4.7    4.8    4.4    5.0    4.0    5.0    5.8    6.1    5.4    5.1    4.1    6.3    7.1    7.3    7.2
 -20.4  -24.0  -17.5    3.6  -32.7  -16.8  -38.4  -29.7  -26.9  -11.6   -0.1   -3.6  -17.2   -5.2  -18.5  -29.1  -25.5   24.4   13.3    1.0   -1.2   -3.2   -6.1    1.6
 244.3  214.5  212.5  230.6  207.2   98.4  147.8  159.5  146.6  139.1  176.6  150.6  119.6  129.3  129.9  198.2  202.5  182.2  187.0  150.0  151.8  162.7  157.9  164.2
  -3.5   -6.9   -7.0   -1.6   -1.3   -0.6   -3.8   -4.8   -4.0   -3.5   -4.8   -3.9   -2.4   -2.5   -3.0   -4.8   -5.1   -4.9   -4.9   -3.5   -5.6   -6.7   -6.8   -6.9
