1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999
  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259  2259
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  51  71  71  71  71  71  71  71
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  52  71  71  71  71  71  71  71
  16   15   14   15   15   15   16   15   14   15   16   15   17   15   15    7   60   13   15   15   16   15   14   15
  16   15   14   15   15   15   16   15   14   15   16   15   17   15   15    7   30   13   15   15   16   15   14   15
  16.6   16.7   16.5   14.9   15.4   15.4   15.4   16.3   16.3   14.1   12.6   11.7   11.4    9.8    9.1    8.5    9.0    8.7    9.0    8.7    8.7    9.4    9.4    9.7
  16.5   16.4   16.2   13.8   14.7   13.1   14.1   15.6   15.8    9.7   10.1    9.6   10.2    9.1    8.0    7.8    8.5    7.4    7.6    7.4    7.7    9.1    8.6    9.4
  29.1   34.1   25.7   13.6   24.1   44.2   43.4    6.6  -41.9  -41.5    1.5    4.0  -18.3  -42.0  -18.0   36.7   13.6   11.0  -10.3   24.6  -13.7  -29.8   -9.8  -10.5
  84.2   77.8   87.9   96.6  113.7  102.4  116.7  103.7  114.7  122.0  113.2  133.8  112.4  117.1  135.3  134.5  144.5  140.4  146.3  160.5  141.2  101.1  142.1  128.4
   1.5    2.9    0.5   -1.5   -5.4   -2.0   -4.6   -3.7   -4.9   -3.8   -4.0   -6.6   -3.7   -3.1   -5.4   -4.4   -6.7   -5.6   -6.2   -6.4   -5.8   -1.5   -6.7   -5.8
  14.3   13.3   14.6   13.3   12.3    9.2    9.2   15.0   10.7    6.1    9.2    6.9    9.0    6.0    5.3    4.5    4.8    4.6    4.1    2.3    4.7    7.8    5.2    7.3
   8.0    9.2    7.0    3.2    6.0    9.2    9.7    1.8  -10.5   -6.4    0.3    0.7   -3.2   -6.1   -2.5    4.7    2.0    1.4   -1.3    3.1   -1.8   -4.5   -1.5   -1.7
  10.6    9.6   11.9   12.1   10.9    7.8    8.3   14.9   10.8    6.0    9.2    6.9    9.0    6.2    5.4    4.0    4.4    4.2    4.3    1.3    5.0    8.9    5.4    7.4
  12.5   13.0   10.9    6.4    8.3   10.4   10.5    2.4  -10.4   -6.5    0.1    0.6   -3.2   -5.9   -2.2    5.2    2.7    2.3   -0.2    3.6   -0.2   -1.5    0.5    1.1
   0.7    0.4    0.4    0.7    0.3    0.4    0.4    0.5    0.6    1.9    0.6    0.6    1.0    0.2    0.5    0.0    0.5    0.3    0.3    0.2    0.1    0.2    0.5    0.3
   1.9    2.6    2.4    4.7    4.3    6.8    5.3    4.0    3.6    9.4    6.0    5.9    3.6    2.8    4.2    2.8    2.8    4.1    3.7    3.8    3.4    1.8    2.9    1.7
   0.9    1.9    0.8    1.8    1.4    1.6    1.8    0.9    1.7    2.8    3.4    3.4    1.8    1.9    1.4    0.6    1.0    1.3    0.9    1.3    1.6    0.9    1.6    1.0
   0.6    1.0    0.8    1.2    2.0    5.6    3.8    0.5    2.4    3.1    1.9    3.3    1.4    1.1    1.1    1.8    1.0    1.3    1.8    2.5    1.4    0.7    1.9    0.9
   1.6    1.5    2.2    4.1    3.5    3.5    3.2    3.9    2.0    8.4    4.6    3.5    2.8    1.7    3.8    1.9    2.4    3.7    3.2    2.6    2.7    1.3    1.6    1.0
  213323.   211774.   187697.   190938.   192561.   190260.   170366.   188408.   179768.   222419.   228026.   202605.   144352.   103910.   107690.   116829.   114084.   181002.   175830.   182743.   175275.   174132.   218999.   225487.
   7.0    6.6    7.7    9.3   10.4    9.9   10.1    8.4    9.9    9.2   10.4   10.3    7.5    5.2    5.7    6.2    6.3    5.8    5.6    5.3    4.6    3.7    3.8    3.8
  421.   428.   410.   409.   407.   422.   420.   428.   427.   429.   444.   439.   461.   489.   474.   490.   474.   500.   496.   498.   499.   551.   517.   523.
   4.7    4.7    3.7    4.2    3.1    2.0    0.5   -2.0   -3.7   -1.6   -2.8   -1.7   -4.3   -3.3   -3.8   -3.1   -3.7   -1.6   -0.4   -0.3   -1.0   -0.4    2.2    0.8
   1.8   -0.5    0.4   -1.1   -3.4   -1.7   -1.6   -1.3   -1.1   -3.9   -5.4   -4.2   -1.5    1.7   -1.1   -5.4   -4.9   -5.9   -4.0   -5.8   -2.0   -1.3   -3.3   -3.4
 9.999  9.999  0.095  9.999  0.054  9.999  9.999  0.102  9.999  9.999  0.052  9.999  9.999  0.057  0.064  0.054  0.042  0.046  0.043  0.045  0.044  0.048  0.039  0.042
   10294.     9766.     6869.     9563.     5206.    13363.     8321.     9783.    12931.    24373.    16227.    14635.    16672.    13206.    15142.     8787.    23930.    22220.    11785.    10530.    12769.     9896.    19915.     9770.
   1.2    0.4    1.1    1.0    0.8    0.8    1.3    0.8    1.3    1.3    0.4    0.9    1.5    0.7    0.6    0.6    0.4    0.8    0.4    0.3    0.5    0.5    0.3    0.3
    6.    11.     5.     5.     4.     6.     6.     4.     4.     6.    15.    15.    19.    17.     8.     7.    13.     9.     7.     8.    13.     5.    14.     7.
