1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997
 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311 311
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243  2243
 51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51
 51  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52
  63   62   60   59   60   60   60   60   60   59   60   61   58   60   59   61   59   60   59   61   59   60   59   60
  17   21   38   36   38   37   37   38   38   34   37   36   37   37   37   38   37   34   36   38   36   36   37   37
  14.2   15.7   16.1   15.8   13.9   14.1   15.9   14.4   13.2   12.4   11.0   10.6   10.5   11.2   11.1   11.0   13.9   14.1   16.3   17.2   17.8   17.8   17.0   16.4
  13.7   15.2   15.5   15.5   13.2   10.2   15.8   14.2   13.1   12.2   10.9   10.5   10.1   10.9   10.9   10.2   13.8   13.9   15.8   17.1   17.8   17.7   17.0   16.3
 -63.6  -48.0  -42.3   -9.3    1.1  -77.7  -54.3  -37.0  -37.1  -38.2  -31.9  -27.3  -31.5  -27.1  -27.9  -23.9    1.5   -4.1    6.6   12.5   15.8   25.6   40.4   40.7
  75.1   83.8   64.9   84.4   88.4  313.2  271.5  274.8  269.2  257.5  254.3  246.6  246.7  247.4  248.8  242.0  235.1  239.3  235.7  230.9  229.9  227.1  224.0  229.7
   1.6    1.1    4.9    1.5    0.4    1.5    0.2    0.9   -0.2   -2.1   -2.5   -3.7   -3.4   -3.7   -3.5   -4.4   -7.9   -7.1   -8.9  -10.5  -11.0  -10.8   -9.3   -8.0
   5.9   10.1   10.4   15.2   13.2   -1.6   -9.2  -11.3  -10.5   -9.4   -8.9   -8.6   -7.9   -9.0   -9.0   -8.2  -11.3  -11.9  -13.0  -13.0  -13.1  -11.7   -9.0   -9.4
 -12.2  -11.3  -10.4   -2.5    0.3  -10.0  -12.8   -8.6   -7.9   -7.6   -5.8   -4.8   -5.3   -5.0   -5.1   -4.1    0.4   -1.0    1.8    3.7    4.8    7.6   11.0   10.6
