2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000
 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277  2277
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
  14   15   15   15   15   15   15   16   15   15   15   15   15   15   16   15   15   16   15   16   17   15   16   15
  14   15   15   15   15   15   15   16   15   15   15   15   15   15   16   15   15   16   15   16   17   15   16   15
   8.0    8.1    7.6    7.6    7.6    8.2    8.7    8.1    9.6   11.3   11.0   10.5   10.3    9.1   11.6   13.1   16.6   15.0   15.8   13.1   12.0   10.6   12.3   12.1
   7.9    7.8    7.1    7.2    7.6    8.2    8.6    4.5    9.5   11.3   10.4    9.5    9.3    3.0    8.9   12.1   14.0    8.9   13.8    7.8    6.2    6.9    9.5   10.4
  -6.2   -1.1  -31.5  -47.3  -45.7  -45.3  -43.1  -33.7    5.7    6.3    5.0   18.0    9.6   13.1  -28.4    0.7  -32.6  -67.2   54.6  -39.6  -22.5   -1.2   -1.9   21.6
 346.5  329.8  356.1   30.0   35.4   38.4   26.5  350.7  310.1  311.6  307.9   69.0   94.9  352.5  315.2  306.7  298.2  107.0   66.8  261.2  289.1  296.8  304.2  320.8
   7.6    6.8    6.1    4.2    4.3    4.5    5.6    3.7    6.1    7.4    6.4    3.2   -0.8    2.9    5.5    7.2    5.6   -1.0    3.2   -0.9    1.9    3.1    5.4    7.5
  -1.8   -3.9   -0.4    2.5    3.1    3.6    2.8   -0.6   -7.3   -8.4   -8.2    8.4    9.1   -0.4   -5.5   -9.7  -10.4    3.3    7.4   -5.9   -5.4   -6.2   -7.9   -6.1
  -0.8   -0.1   -3.7   -5.3   -5.4   -5.8   -5.9   -2.5    0.9    1.2    0.9    2.9    1.5    0.7   -4.2    0.2   -7.5   -8.2   11.3   -4.9   -2.4   -0.1   -0.3    3.8
  -1.4   -3.7    0.6    3.6    4.0    4.3    3.2   -0.5   -7.3   -8.4   -8.2    8.5    9.1   -0.4   -5.3   -9.7   -9.2    4.9    4.4   -4.2   -4.3   -5.8   -7.3   -7.0
  -1.3   -1.3   -3.7   -4.6   -4.8   -5.3   -5.7   -2.5    0.9    1.4    1.2    2.6    1.3    0.7   -4.4   -0.7   -8.9   -7.4   12.8   -6.4   -4.0   -2.2   -3.0    1.5
   0.2    0.6    0.6    0.3    0.1    0.2    0.1    1.5    0.2    0.4    1.2    1.3    0.8    0.7    0.6    0.9    1.1    0.9    1.6    2.5    1.5    2.2    0.8    0.9
   1.4    2.1    2.6    1.8    0.7    0.5    0.7    6.7    0.8    1.0    3.6    4.6    4.0    8.4    7.1    4.4    8.2   11.7    7.2   10.1    9.9    7.7    7.2    4.8
   0.3    1.2    0.8    0.8    0.4    0.3    0.5    1.0    0.4    0.9    1.4    2.3    2.6    3.0    3.8    2.0    2.6    4.1    1.3    3.0    4.6    3.1    2.6    1.7
   1.3    1.2    1.9    1.5    0.4    0.4    0.4    5.4    0.4    0.4    3.2    3.9    1.1    4.8    2.1    1.3    4.9   10.2    5.7    3.4    4.3    3.9    1.4    2.0
   0.5    1.2    1.5    0.5    0.4    0.2    0.3    3.7    0.6    0.3    1.1    0.7    2.9    6.2    5.6    3.7    6.1    4.1    4.2    9.0    7.7    5.9    6.6    4.0
   38081.    45335.    33316.    19950.    18790.    17456.    15904.    54096.    59007.    65506.    63017.    48980.    57625.    62788.    89257.   113924.   116680.   106532.   115820.   291070.   349951.   391274.   437008.   406588.
   5.9    7.0   11.2   14.2   14.7   15.0   16.2   13.0    8.4   10.6   11.7   13.8   16.3   17.0   13.7   17.7   20.4   21.2   23.2    4.8    4.1    3.7    3.1    2.6
  339.   340.   342.   342.   335.   336.   333.   352.   347.   356.   357.   351.   360.   349.   359.   371.   385.   402.   394.   430.   465.   482.   522.   529.
  -3.5   -4.3   -2.8   -2.1   -2.5   -3.0   -4.7   -2.6   -5.7   -6.9   -4.7   -2.1   -3.6   -5.8   -6.5   -8.5   -7.8   -0.9    3.3    5.2    6.7    4.2    8.8   13.0
