2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002
 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229 229
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
  14   15   16   14   14   16   15   15   14   15   15   15   15   15   15   15   15   14   15   15   15   16   14   15
  14   15   16   14   14   16   15   15   14   15   15   15   15   15   15   15   15   14   15   15   15   16   14   15
   6.3    6.3    6.3    6.1    6.2    6.0    5.9    6.2    6.1    5.9    5.8    5.7    5.8    5.9    6.0    5.7    5.6    5.5    5.7    5.7    5.6    5.5    5.5    5.4
   6.1    5.9    6.0    5.7    5.8    4.0    5.4    5.9    5.7    5.5    5.8    5.5    5.7    5.8    5.6    5.5    5.5    5.4    5.5    5.4    4.8    4.7    4.8    5.2
  41.1   39.6   31.9  -13.1   -9.6  -41.6  -39.5  -15.4  -13.5    3.7    4.3    6.6    8.9   -4.1   24.5   25.2    8.3  -11.5   -6.9  -15.2  -10.8   -0.3  -14.2  -42.1
 127.6  128.0  121.9   93.2  131.4  110.1  108.5  109.2  108.7   98.4  117.9  131.3  125.6  131.7   90.4  108.9  123.1  131.3  140.5  134.5  123.6  103.0  135.7  156.1
  -2.8   -2.8   -2.7   -0.3   -3.8   -1.0   -1.3   -1.9   -1.8   -0.8   -2.7   -3.6   -3.3   -3.9    0.0   -1.6   -3.0   -3.5   -4.2   -3.6   -2.6   -1.1   -3.4   -3.5
   3.6    3.6    4.3    5.5    4.3    2.8    3.9    5.3    5.3    5.4    5.1    4.1    4.6    4.3    5.1    4.7    4.5    4.0    3.5    3.7    3.9    4.6    3.3    1.6
   4.0    3.8    3.2   -1.3   -1.0   -2.6   -3.4   -1.6   -1.3    0.4    0.4    0.6    0.9   -0.4    2.3    2.3    0.8   -1.1   -0.7   -1.4   -0.9    0.0   -1.2   -3.5
   4.2    4.3    4.9    4.9    3.8    1.7    2.2    4.1    4.1    4.9    4.6    3.9    4.5    3.6    5.6    5.2    4.5    3.5    3.2    3.3    3.7    4.5    3.1    1.0
   3.3    3.0    2.1   -2.7   -2.3   -3.4   -4.7   -3.8   -3.6   -2.3   -2.2   -1.5   -1.5   -2.4   -0.2    0.3   -0.8   -2.3   -1.6   -2.2   -1.6   -0.7   -1.7   -3.7
   0.0    0.1    0.1    0.3    0.2    0.1    0.1    0.3    0.1    0.1    0.1    0.1    0.1    0.1    0.2    0.1    0.1    0.1    0.1    0.1    0.1    0.1    0.1    0.0
   1.2    1.9    1.8    1.9    1.8    3.7    2.2    1.5    1.8    1.7    0.8    1.0    1.3    0.6    2.0    1.0    1.0    0.9    1.5    1.5    2.5    2.5    2.3    1.4
   0.7    1.3    1.2    1.3    1.3    2.4    2.1    1.1    1.4    1.6    0.6    0.6    0.9    0.4    1.3    0.4    0.5    0.5    0.6    0.9    1.3    1.9    0.7    0.5
   0.7    1.3    1.1    0.4    0.9    2.5    0.4    0.7    0.7    0.3    0.5    0.4    0.7    0.3    0.5    0.4    0.4    0.6    0.8    1.0    0.7    0.9    0.7    0.8
   0.6    0.4    0.9    1.3    0.8    1.5    0.5    0.8    0.9    0.7    0.2    0.6    0.6    0.3    1.5    0.8    0.8    0.5    1.1    0.7    2.0    1.5    2.0    1.0
  133809.   144746.   125758.    93667.   162410.   123775.   116164.   100723.    98620.   101931.    87578.   128277.    98213.    88574.    43535.    47335.    65170.    91386.    95002.    93407.    89932.    74408.    96810.    89514.
   1.7    1.8    1.7    1.8    1.9    2.1    2.0    2.1    1.7    1.9    1.8    2.0    2.1    2.8    3.7    3.9    3.6    3.1    2.7    2.9    3.3    3.3    3.2    2.9
