2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000
 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
   0.94    0.27    0.09   -0.40   -0.80   -0.78   -0.34   -0.22   -0.26   -0.21   -0.46   -0.59    0.38    1.66   -0.09   -0.94  999.99  999.99   -0.11   -2.15   -2.33   -1.17   -2.37    0.40
   0.81    0.83    1.18    1.53    1.70    1.57    1.71    1.45    1.33    1.21    1.59    1.66    1.15    1.12    1.42    1.04  999.99  999.99    1.65    1.11    1.50    1.30    1.14    0.94
   7.9    7.7    8.8   10.0   10.5    9.8    9.2    9.5    9.0    8.1    9.4   10.3    8.4    8.5    9.7    8.0  999.9  999.9    8.3    7.8    8.6    8.2    7.5    6.7
  6.0   5.9   6.2   6.5   6.7   6.4   5.9   6.3   6.2   5.6   6.1   6.6   6.0   6.0   6.5   5.8  99.9  99.9   5.3   5.5   5.7   5.6   5.3   5.0
 0.0193  0.0198  0.0152  0.0119  0.0108  0.0123  0.0139  0.0133  0.0146  0.0183  0.0136  0.0113  0.0169  0.0165  0.0125  0.0185  9.9999  9.9999  0.0173  0.0198  0.0161  0.0178  0.0213  0.0265
 27  27  27  20  20  20  17  17  17  10  10  10  30  30  30  33  33  33  30  30  30  40  40  40
 141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141  141
   -28    -29    -27    -21    -18    -15    -16    -13    -10    -14    -15    -14    -11     -9     -7    -16    -14    -12    -20    -20    -13    -11    -13    -19
  12   12   12    7    7    7    6    6    6    4    4    4   15   15   15   18   18   18   15   15   15   27   27   27
 163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0  163.0
  178   203   206   174   108   135    85   150   198   131   146   211   312   632   590   504   162   170   352   466   402   468   476   599
   -94    -90    -81    -12      8      0     -1    -10    -49    -20    -24    -54   -139   -395   -372   -291    -48    -71   -149   -273   -211   -285   -271   -317
