1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999 1999
 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269  2269
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
  14   15   15   15   15   15   15   15   14   15   15   15   16   15   15   14   16   12   16   14   15   15   15   16
  14   15   15   15   15   15   15   15   14   15   15   15   16   15   15   14   16   12   16   14   15   15   15   16
   5.1    4.9    6.0    5.8    5.7    6.1    5.8    5.9    6.1    5.9    6.3    6.2    6.7    7.2    7.4    6.8    6.3    7.1    7.4    7.5    7.3    7.0    7.1    6.9
   2.9    4.3    4.9    5.5    5.6    5.3    5.6    5.7    5.6    5.5    5.3    6.0    6.4    6.7    7.3    6.5    5.3    6.1    7.0    7.3    7.1    6.0    6.7    5.3
 -25.5   11.5  -19.4  -49.7  -49.7   -4.5  -27.4  -28.1  -13.1  -16.2  -10.0  -40.2  -55.4  -46.7  -36.0  -29.9  -48.2  -67.0  -40.5  -15.6   -6.2  -12.8   -1.6   -6.9
  61.4  112.5  126.8  130.5  158.8   72.7   77.0   93.2  104.5  115.9  117.4  100.2   92.4  106.1  109.3  138.4  141.9  182.9  153.5  145.1  136.5  134.5  131.9  120.5
   1.3   -1.6   -2.8   -2.3   -3.4    1.6    1.1   -0.3   -1.4   -2.3   -2.4   -0.8   -0.2   -1.3   -1.9   -4.2   -2.8   -2.4   -4.7   -5.8   -5.1   -4.1   -4.5   -2.7
   2.3    3.9    3.7    2.7    1.3    5.1    4.8    5.0    5.3    4.8    4.6    4.5    3.6    4.4    5.5    3.8    2.2   -0.1    2.4    4.0    4.9    4.2    5.0    4.6
  -1.3    0.8   -1.6   -4.2   -4.3   -0.4   -2.6   -2.7   -1.3   -1.5   -0.9   -3.8   -5.2   -4.9   -4.3   -3.3   -3.9   -5.6   -4.5   -2.0   -0.8   -1.3   -0.2   -0.6
   2.0    4.0    3.2    1.4   -0.2    4.5    3.2    3.2    4.0    3.4    3.5    2.0    0.6    1.7    3.2    2.2    0.7   -1.7    1.2    3.5    4.7    3.9    4.9    4.4
  -1.7    0.0   -2.5   -4.8   -4.5   -2.3   -4.4   -4.7   -3.7   -3.7   -3.1   -5.5   -6.3   -6.4   -6.2   -4.5   -4.4   -5.3   -5.0   -2.8   -1.7   -2.0   -1.0   -1.3
   0.3    0.2    0.4    0.2    0.3    0.3    0.3    0.2    0.1    0.1    0.2    0.2    0.3    0.3    0.2    0.2    0.5    0.5    0.3    0.1    0.1    0.1    0.1    0.2
   4.1    2.2    3.1    1.5    0.9    2.6    1.6    1.2    2.2    1.5    3.3    1.5    1.7    2.0    1.1    1.6    3.2    3.6    2.1    1.4    1.6    3.2    2.1    4.1
   3.1    1.3    1.2    0.9    0.7    1.8    0.6    1.0    1.8    1.1    0.9    0.9    1.1    0.6    0.8    1.0    1.5    3.3    0.8    0.3    0.9    1.2    1.4    2.3
   0.8    0.9    1.7    0.9    0.6    1.1    0.9    0.3    0.6    0.4    0.8    0.9    1.1    1.6    0.4    0.6    2.1    1.5    1.5    0.7    0.7    1.7    1.2    1.7
   2.6    1.6    2.3    0.7    0.3    1.4    1.1    0.7    1.0    1.0    3.0    0.7    0.8    1.0    0.7    1.0    1.8    0.5    1.2    1.2    1.1    2.4    1.0    3.0
   84669.    98239.    83127.    81708.    89460.    72908.    65028.    61371.    70163.    77937.    66583.    51137.    56117.    67315.    69151.   110131.    94820.    76199.    83824.    82074.    78423.    72126.    76042.    69785.
   6.0    5.3    5.9    5.8    6.0    4.5    4.5    4.5    4.5    4.3    4.8    4.5    5.1    4.9    5.2    5.4    5.2    5.8    6.3    6.6    6.1    6.2    6.0    6.4
  420.   404.   398.   397.   388.   404.   402.   395.   392.   384.   377.   385.   397.   405.   402.   389.   391.   391.   388.   382.   378.   382.   378.   389.
  -0.9   -3.1   -1.7   -1.4   -0.5   -1.9   -1.6   -1.8   -3.1   -3.1   -3.3   -2.9   -1.6   -1.6   -1.9   -0.8   -0.3    0.9   -0.6   -2.6   -3.4   -2.5   -3.4   -2.7
   2.5    0.4    2.0    3.5    3.7    2.0    3.0    3.0    2.4    2.6    1.5    4.2    4.7    5.4    5.7    5.4    5.4    4.7    4.3    4.1    4.0    3.6    3.2    3.3
 0.034  0.041  0.051  0.041  0.048  0.049  0.050  0.051  0.056  0.050  0.057  0.054  0.057  0.053  0.045  0.064  0.057  0.044  0.048  0.037  0.034  0.035  0.035  0.036
   12851.     6311.     7231.     5714.     4867.     9517.     7862.     7523.    14597.    16525.    12748.     6211.     4990.     7054.     9646.    20930.    35494.     9255.     8871.     5138.    11315.    13280.    10073.    17223.
   1.0    0.2    0.6    0.4    0.3    0.3    0.4    0.2    0.2    0.3    0.3    0.3    0.9    0.4    0.2    0.5    0.3    1.0    0.6    0.3    0.5    0.6    0.6    1.4
   12.     4.     5.     6.     4.     8.     2.     4.     9.     4.     4.     6.     9.     3.     2.     5.     7.    11.     4.     2.     4.     6.     7.    15.
   1.0    0.3    1.0    0.9    0.6    0.6    0.4    0.6    0.4    0.5    1.1    1.0    1.4    1.3    0.6    0.5    1.4    0.9    0.8    0.8    0.5    1.9    0.9    1.4
   1.5    1.0    1.0    0.5    0.4    0.9    0.7    0.5    0.8    0.9    2.2    0.5    0.7    0.6    0.4    1.0    0.8    1.4    0.6    0.3    0.4    1.3    1.1    2.2
 0.001  0.006  0.011  0.004  0.004  0.006  0.006  0.006  0.006  0.004  0.009  0.004  0.007  0.007  0.003  0.011  0.009  0.006  0.006  0.008  0.002  0.003  0.003  0.003
  2.01   1.68   1.88   1.78   1.80   1.47   1.46   1.41   1.41   1.27   1.40   1.35   1.65   1.63   1.66   1.71   1.63   1.74   1.89   1.85   1.65   1.72   1.63   1.85
   0.71   -0.00    0.99    1.91    1.75    0.93    1.77    1.86    1.45    1.42    1.17    2.12    2.50    2.59    2.49    1.75    1.72    2.07    1.94    1.07    0.64    0.76    0.38    0.51
   2.04    2.08    1.44    1.51    1.67    1.01    1.08    1.02    1.00    1.06    0.98    0.87    0.87    0.77    0.78    1.16    1.22    0.98    1.02    1.03    0.98    1.06    1.01    1.11
  10.1    9.5    8.1    8.2    8.3    7.0    7.4    7.1    6.8    6.7    6.6    6.6    6.7    6.2    6.2    6.6    7.1    6.6    6.6    6.5    6.4    6.8    6.5    7.1
  6.1   5.7   5.4   5.4   5.3   5.1   5.3   5.2   5.0   4.9   4.8   5.0   5.1   4.8   4.8   4.7   4.9   4.9   4.8   4.8   4.7   4.9   4.8   5.1
 0.0117  0.0132  0.0183  0.0175  0.0171  0.0241  0.0220  0.0236  0.0256  0.0261  0.0277  0.0274  0.0266  0.0307  0.0310  0.0269  0.0238  0.0270  0.0275  0.0278  0.0291  0.0258  0.0280  0.0234
 27  27  27  40  40  40  27  27  27  33  33  33  30  30  30  47  47  47  30  30  30  27  27  27
 202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202  202
   -31    -30    -26    -27    -34    -38    -41    -49    -54    -55    -45    -42    -48    -54    -57    -60    -61    -55    -45    -54    -57    -56    -57    -54
  12   12   12   27   27   27   12   12   12   18   18   18   15   15   15   39   39   39   15   15   15   12   12   12
 194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8  194.8
  360   184   144   356   581   337   305   287   430   426   682   463   484   663   742   743   493   544   630   593   379   313   305   190
  -266   -118    -62   -282   -472   -189   -165   -177   -303   -273   -493   -315   -389   -448   -454   -467   -305   -364   -386   -319   -208   -165   -169    -95
    94     66     82     75    109    148    139    110    127    154    189    148     95    215    288    277    189    180    244    274    171    148    136     96
   2.3    1.5    1.2    2.0    3.8    1.9    2.3    1.8    2.1    2.4    3.2    2.6    3.2    3.4    3.6    3.4    2.7    3.7    4.5    3.2    2.0    2.1    2.0    1.2
 0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362  0.008362
      0.58       0.63       0.63       0.63       0.65       0.60       0.63       0.63       0.70       0.63       0.74       0.93       1.23       1.31       0.97       0.80       0.76       0.76       0.72       0.73       0.68       0.75       0.76       0.74
     0.56      0.61      0.59      0.60      0.61      0.57      0.58      0.58      0.63      0.55      0.61      0.61      0.62      0.64      0.62      0.62      0.59      0.61      0.57      0.62      0.60      0.63      0.61      0.58
