2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012 2012
 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444  2444
 51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51
 52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52
  59   58   62   56   49   60   64   65   61   59   58   64   56   61   63   56   61   63   61   58   61   60   61   60
  33   35   38   31   31   36   37   40   37   36   34   39   34   37   38   34   38   38   37   36   37   35   37   36
   9.0    8.4    8.5    8.4    7.4    6.8    6.1    6.3    7.2    5.8    5.2    5.3    4.4    4.9    5.1    4.9    4.5    4.4    3.4    5.7    6.3    6.2    4.8    6.0
   9.0    8.0    8.0    8.3    7.4    6.7    6.0    6.2    6.6    4.6    4.5    5.0    2.4    4.9    4.9    4.8    1.0    3.8    1.9    5.6    6.2    6.0    3.5    5.5
  51.2   45.9   38.1   38.4   32.8   21.6   24.3   43.7   -0.5  -66.0  -44.3  -36.1   41.3   69.1   66.8   68.0  -37.0  -53.8   46.0   58.4   61.5   47.2   66.6   53.5
  40.0   25.6  295.8  289.5  315.4  303.2  307.8  275.8  269.5  140.2  103.7   76.9   37.5  303.9  332.2  327.5  108.3  195.4  261.5    0.4  357.3   14.1  333.3   13.4
   4.3    5.0    2.7    2.2    4.4    3.4    3.3    0.5   -0.1   -1.4   -0.8    0.9    1.4    1.0    1.7    1.5   -0.3   -2.2   -0.2    2.9    3.0    4.0    1.2    3.2
   3.6    2.4   -5.7   -6.1   -4.3   -5.2   -4.3   -4.4   -6.6    1.2    3.1    4.0    1.1   -1.5   -0.9   -1.0    0.8   -0.6   -1.3    0.0   -0.1    1.0   -0.6    0.8
   7.0    5.8    4.9    5.2    4.0    2.5    2.4    4.3   -0.1   -4.2   -3.1   -3.0    1.6    4.6    4.5    4.5   -0.6   -3.1    1.3    4.8    5.5    4.4    3.2    4.4
   5.2    3.9   -3.9   -3.9   -2.4   -3.6   -2.7   -1.7   -5.7   -1.2    0.9    1.8    1.8    1.0    1.3    1.1    0.5   -1.7   -0.8    1.4    1.3    2.0    0.2    1.8
   5.9    4.9    6.4    7.0    5.4    4.5    4.1    5.9    3.4   -4.2   -4.3   -4.7    0.8    4.7    4.4    4.5   -0.9   -2.7    1.6    4.6    5.3    4.0    3.3    4.1
   0.1    0.4    0.2    0.1    0.3    0.2    0.4    0.4    0.3    0.8    0.4    0.4    0.6    0.2    0.2    0.5    0.5    0.4    0.5    0.7    0.1    0.5    0.6    0.6
   0.6    2.6    2.8    1.3    0.7    1.1    1.5    1.2    2.8    3.6    2.5    1.8    3.8    0.7    1.3    0.9    4.3    2.2    2.8    1.3    0.8    1.4    3.2    2.3
   0.3    0.5    1.6    1.0    0.3    0.9    0.8    0.8    0.6    1.0    1.2    1.3    0.8    0.5    0.7    0.4    1.8    0.7    1.5    0.3    0.5    0.6    1.9    1.7
   0.5    2.5    1.7    0.6    0.5    0.4    0.9    0.6    0.8    3.0    2.1    0.8    2.3    0.4    1.1    0.7    1.6    1.7    1.2    0.8    0.6    0.6    2.3    1.2
   0.3    0.7    1.6    0.5    0.3    0.5    0.9    0.7    2.6    1.8    0.6    0.9    2.8    0.2    0.3    0.5    3.6    1.2    2.1    1.0    0.2    1.2    1.2    0.9
   25242.    30936.    53434.    74636.   108660.   125273.   129776.   140694.   151414.   117695.   105923.    87759.    64370.    57210.    55403.    60268.    63482.    50004.    31828.    20874.    15939.    20817.    43716.    34658.
  16.3   18.5    9.2    5.3    5.0    5.3    4.8    5.4    5.5    4.2    4.1    3.9    7.7    5.3    4.9    3.9    4.8    6.7   12.6    5.8    4.2    6.1    7.2    5.6
  333.   334.   334.   326.   300.   287.   302.   297.   313.   320.   320.   317.   320.   312.   327.   331.   327.   331.   335.   334.   335.   336.   337.   339.
  -1.2   -1.2   -0.1    0.9    2.5    2.3    3.8    4.3    2.3    3.4    1.5    1.0   -1.1   -1.8   -5.1   -4.2   -2.3   -0.8   -3.2   -1.5   -1.8   -3.1   -4.1   -6.8
   1.4    0.6   -1.1    0.4    1.8   -0.5   -1.8    0.8   -2.0   -4.3   -3.3   -2.8   -2.1   -3.1   -3.3   -5.3   -5.4   -6.2   -3.9   -5.6   -6.7   -6.4   -5.0   -2.8
 0.029  0.034  0.028  0.030  0.044  0.043  0.046  0.038  0.041  0.040  0.039  0.032  0.023  0.023  0.019  0.023  0.024  0.021  0.022  0.024  0.029  0.026  0.030  0.024
    1103.     5868.    11698.    16523.    20264.    13833.    27641.    15741.    18516.    19141.    18803.    13095.    13952.     5455.     8167.    10756.     9173.     4358.     3929.     5519.     1514.     5701.    12027.    16658.
   0.7    3.2    3.5    1.2    0.9    0.7    0.8    0.5    0.5    0.8    0.7    0.7    1.9    0.6    0.5    1.1    0.6    1.7    1.2    2.2    0.4    1.8    0.9    1.3
    1.     2.     4.     8.     6.     3.    15.    12.     6.     5.     7.     9.     3.     5.     5.     6.     3.     4.     3.     3.     2.     4.    11.    12.
   0.3    0.7    0.5    0.7    0.6    0.9    2.1    1.2    0.9    1.4    1.7    1.1    0.6    1.0    1.2    0.8    1.5    1.5    0.6    0.7    0.5    0.7    2.4    1.1
   0.2    0.9    0.9    0.6    0.8    1.1    1.4    1.2    2.3    0.9    1.4    1.4    0.9    0.5    0.6    1.3    2.0    1.6    0.3    1.0    0.3    0.5    1.7    0.9
 0.003  0.006  0.003  0.003  0.005  0.007  0.011  0.008  0.007  0.006  0.006  0.007  0.002  0.003  0.002  0.005  0.003  0.003  0.006  0.007  0.005  0.004  0.007  0.008
  3.37   3.92   1.91   1.05   0.88   0.85   0.87   0.92   1.05   0.83   0.81   0.74   1.44   0.94   0.94   0.78   0.94   1.33   2.57   1.18   0.88   1.27   1.53   1.18
  -1.96   -1.64   -2.14   -2.28   -1.62   -1.29   -1.24   -1.75   -1.06    1.34    1.38    1.49   -0.26   -1.47   -1.44   -1.49    0.29    0.89   -0.54   -1.54   -1.78   -1.34   -1.11   -1.39
