2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002
 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231 231
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307  2307
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
  15   15   15   15   15   15   15   15   14   15   15   15   15   15   14   15   16   14   15   16   15   14   15   15
  15   15   15   15   15   15   15   15   14   15   15   15   15   15   14   15   16   14   15   16   15   14   15   15
  10.9    9.5   10.1    9.8   10.6   12.8   14.3   13.8   11.9   10.0   11.9   10.7    9.0    8.1    8.8    8.2    9.6    8.7    6.8    9.2    9.3    9.2    9.1    8.3
   9.7    8.7    8.1    8.5   10.0   11.7   14.2   13.7   11.0    3.2   11.8    9.2    6.9    7.5    8.2    7.9    9.5    8.0    6.4    8.8    9.1    9.2    8.9    8.0
  -6.1   41.2    4.8   21.8   47.7   -1.0   -6.6   -0.6   27.1   83.1   16.8   41.4   48.9  -24.8   24.6    9.9   -3.2  -23.3  -16.0  -49.1  -52.6  -57.7  -57.9  -53.7
 101.8  109.0   99.6  117.3  132.7   99.4   98.7   99.3  104.7  192.1  265.9  254.3  264.5  305.2  317.1  286.1  283.6  300.8  297.6  316.3  304.6  320.3    4.5  323.5
  -2.0   -2.1   -1.4   -3.6   -4.5   -1.9   -2.1   -2.2   -2.5   -0.4   -0.8   -1.9   -0.4    3.9    5.5    2.2    2.2    3.7    2.9    4.2    3.1    3.8    4.7    3.8
   9.4    6.2    8.0    7.0    4.9   11.5   14.0   13.5    9.5   -0.1  -11.3   -6.6   -4.5   -5.6   -5.1   -7.5   -9.2   -6.3   -5.5   -4.0   -4.6   -3.1    0.4   -2.8
